family,case_id,policy,mode,condition,velocity,switch_latency,switch_distance,false_cost,harm_scale,special,required_strategy,active_strategy_at_contact,predicted_mode,switch_target,switch_started_distance,deadline_margin,posterior_confidence,posterior_margin,safe_success,final_success,harmful_contact,late_switch,early_false_switch,deadline_violation,avoidable_lateness,impulse,expected_cost,switch_reason
family_d,700000,posterior_fixed,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.15585,0.02805,none
family_d,700000,posterior_cost_tuned,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.15255,0.02746,none
family_d,700000,v2_guard,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.11549,0.02079,none
family_d,700000,deadline_threshold,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.14724,0.0265,none
family_d,700000,risk_guard,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.14058,0.0253,none
family_d,700000,calibrated_deadline_guard,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.10827,0.01949,none
family_d,700000,oracle_precontact,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,0.078,0.078,1.0,1.0,1,1,0,0,0,0,0,0.1339,0.0241,oracle
family_d,700001,posterior_fixed,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.033,0.033,0.95527,0.92323,1,1,0,0,0,0,0,0.12151,0.02187,posterior_0.90_0.24
family_d,700001,posterior_cost_tuned,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.033,0.033,0.95527,0.92323,1,1,0,0,0,0,0,0.10477,0.01886,cost_posterior_0.76_0.23
family_d,700001,v2_guard,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.03,0.03,0.92607,0.88149,1,1,0,0,0,0,0,0.09791,0.01762,v2_guard
family_d,700001,deadline_threshold,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.033,0.033,0.95527,0.92323,1,1,0,0,0,0,0,0.16098,0.02898,deadline_threshold
family_d,700001,risk_guard,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.033,0.033,0.95527,0.92323,1,1,0,0,0,0,0,0.14746,0.02654,risk_2.66_0.08
family_d,700001,calibrated_deadline_guard,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.033,0.033,0.90454,0.84079,1,1,0,0,0,0,0,0.14296,0.02573,calibrated_deadline_guard
family_d,700001,oracle_precontact,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.078,0.078,1.0,1.0,1,1,0,0,0,0,0,0.14006,0.02521,oracle
family_d,700002,posterior_fixed,slippery,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,cage,cage,slippery,cage,0.024,0.024,0.93445,0.88756,1,1,0,0,0,0,0,0.14965,0.02694,posterior_0.90_0.24
family_d,700002,posterior_cost_tuned,slippery,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,cage,cage,slippery,cage,0.027,0.027,0.80489,0.70486,1,1,0,0,0,0,0,0.15233,0.02742,cost_posterior_0.76_0.23
family_d,700002,v2_guard,slippery,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,cage,cage,slippery,cage,0.024,0.024,0.93445,0.88756,1,1,0,0,0,0,0,0.13936,0.02509,v2_guard
family_d,700002,deadline_threshold,slippery,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,cage,cage,slippery,cage,0.024,0.024,0.93445,0.88756,1,1,0,0,0,0,0,0.16234,0.02922,deadline_threshold
family_d,700002,risk_guard,slippery,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,cage,soft,compliant_skin,soft,0.036,0.036,0.51996,0.31398,0,0,1,1,1,0,0,0.8046,3.54483,risk_2.32_0.57
family_d,700002,calibrated_deadline_guard,slippery,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,cage,cage,slippery,cage,0.024,0.024,0.87371,0.78935,1,1,0,0,0,0,0,0.10282,0.01851,calibrated_deadline_guard
family_d,700002,oracle_precontact,slippery,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,cage,cage,slippery,cage,0.078,0.078,1.0,1.0,1,1,0,0,0,0,0,0.13066,0.02352,oracle
family_d,700003,posterior_fixed,fragile,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,fragile,soft,0.027,0.027,0.98684,0.97562,1,1,0,0,0,0,0,0.10771,0.01939,posterior_0.90_0.24
family_d,700003,posterior_cost_tuned,fragile,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,fragile,soft,0.033,0.033,0.84565,0.75512,1,1,0,0,0,0,0,0.13098,0.02358,cost_posterior_0.76_0.23
family_d,700003,v2_guard,fragile,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,fragile,soft,0.03,0.03,0.88926,0.82728,1,1,0,0,0,0,0,0.1308,0.02354,v2_guard
family_d,700003,deadline_threshold,fragile,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,fragile,soft,0.033,0.033,0.87398,0.78346,1,1,0,0,0,0,0,0.11642,0.02096,deadline_threshold
family_d,700003,risk_guard,fragile,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,fragile,soft,0.033,0.033,0.84565,0.75512,1,1,0,0,0,0,0,0.14596,0.02627,risk_3.49_0.17
family_d,700003,calibrated_deadline_guard,fragile,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,fragile,soft,0.03,0.03,0.87,0.76972,1,1,0,0,0,0,0,0.13072,0.02353,calibrated_deadline_guard
family_d,700003,oracle_precontact,fragile,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,fragile,soft,0.078,0.078,1.0,1.0,1,1,0,0,0,0,0,0.10719,0.01929,oracle
family_d,700004,posterior_fixed,occluded_rim,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,tilt,tilt,occluded_rim,tilt,0.024,0.024,0.98164,0.96381,1,1,0,0,0,0,0,0.11904,0.02143,posterior_0.90_0.24
family_d,700004,posterior_cost_tuned,occluded_rim,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,tilt,tilt,occluded_rim,tilt,0.024,0.024,0.98164,0.96381,1,1,0,0,0,0,0,0.16784,0.03021,cost_posterior_0.76_0.23
family_d,700004,v2_guard,occluded_rim,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,tilt,tilt,occluded_rim,tilt,0.021,0.021,0.91075,0.82153,1,1,0,0,0,0,0,0.1353,0.02435,v2_guard
family_d,700004,deadline_threshold,occluded_rim,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,tilt,tilt,occluded_rim,tilt,0.024,0.024,0.98164,0.96381,1,1,0,0,0,0,0,0.13681,0.02462,deadline_threshold
family_d,700004,risk_guard,occluded_rim,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,tilt,tilt,occluded_rim,tilt,0.033,0.033,0.62226,0.46746,1,1,0,0,0,0,0,0.17082,0.03075,risk_1.91_0.66
family_d,700004,calibrated_deadline_guard,occluded_rim,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,tilt,tilt,occluded_rim,tilt,0.024,0.024,0.95528,0.91359,1,1,0,0,0,0,0,0.15889,0.0286,calibrated_deadline_guard
family_d,700004,oracle_precontact,occluded_rim,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,tilt,tilt,occluded_rim,tilt,0.078,0.078,1.0,1.0,1,1,0,0,0,0,0,0.11168,0.0201,oracle
family_d,700005,posterior_fixed,compliant_skin,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,compliant_skin,soft,0.027,0.027,0.9685,0.94209,1,1,0,0,0,0,0,0.1328,0.0239,posterior_0.90_0.24
family_d,700005,posterior_cost_tuned,compliant_skin,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,compliant_skin,soft,0.027,0.027,0.9685,0.94209,1,1,0,0,0,0,0,0.1368,0.02462,cost_posterior_0.76_0.23
family_d,700005,v2_guard,compliant_skin,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,compliant_skin,soft,0.018,0.018,0.99679,0.99358,1,1,0,0,0,0,0,0.13263,0.02387,v2_guard
family_d,700005,deadline_threshold,compliant_skin,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,compliant_skin,soft,0.027,0.027,0.97331,0.9469,1,1,0,0,0,0,0,0.15056,0.0271,deadline_threshold
family_d,700005,risk_guard,compliant_skin,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,compliant_skin,soft,0.03,0.03,0.65535,0.41949,1,1,0,0,0,0,0,0.1345,0.02421,risk_2.48_0.56
family_d,700005,calibrated_deadline_guard,compliant_skin,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,compliant_skin,soft,0.027,0.027,0.94276,0.88711,1,1,0,0,0,0,0,0.13304,0.02395,calibrated_deadline_guard
family_d,700005,oracle_precontact,compliant_skin,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,soft,soft,compliant_skin,soft,0.078,0.078,1.0,1.0,1,1,0,0,0,0,0,0.11699,0.02106,oracle
family_d,700006,posterior_fixed,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.13007,0.02341,none
family_d,700006,posterior_cost_tuned,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,,,1.0,1.0,1,0,0,0,0,0,0,0.07864,0.01416,none
family_d,700006,v2_guard,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.13279,0.0239,none
family_d,700006,deadline_threshold,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.11494,0.02069,none
family_d,700006,risk_guard,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.15079,0.02714,none
family_d,700006,calibrated_deadline_guard,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.11052,0.01989,none
family_d,700006,oracle_precontact,nominal,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,pinch,pinch,nominal,pinch,0.078,0.078,1.0,1.0,1,1,0,0,0,0,0,0.15319,0.02757,oracle
family_d,700007,posterior_fixed,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.033,0.033,0.91981,0.85885,1,1,0,0,0,0,0,0.15431,0.02778,posterior_0.90_0.24
family_d,700007,posterior_cost_tuned,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.039,0.039,0.77,0.67297,1,1,0,0,0,0,0,0.13783,0.02481,cost_posterior_0.76_0.23
family_d,700007,v2_guard,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.03,0.03,0.98347,0.96817,1,1,0,0,0,0,0,0.12335,0.0222,v2_guard
family_d,700007,deadline_threshold,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.033,0.033,0.91981,0.85885,1,1,0,0,0,0,0,0.13133,0.02364,deadline_threshold
family_d,700007,risk_guard,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.039,0.039,0.77,0.67297,1,1,0,0,0,0,0,0.17011,0.03062,risk_2.04_0.40
family_d,700007,calibrated_deadline_guard,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.033,0.033,0.85289,0.75056,1,1,0,0,0,0,0,0.15684,0.02823,calibrated_deadline_guard
family_d,700007,oracle_precontact,thin_lip,normal,0.08,0.0,0.0,1.0,1.0,zero_latency,scoop,scoop,thin_lip,scoop,0.078,0.078,1.0,1.0,1,1,0,0,0,0,0,0.14837,0.02671,oracle
