condition,policy,switch_latency,n,safe_success_mean,safe_success_ci95,final_success_mean,harmful_contact_mean,harmful_contact_ci95,late_switch_mean,late_switch_ci95,early_false_switch_mean,early_false_switch_ci95,deadline_violation_mean,deadline_violation_ci95,avoidable_lateness_mean,impulse_mean,expected_cost_mean,impulse_p90,expected_cost_p90
high_noise,calibrated_deadline_guard,0.04,192,0.890625,0.044148,0.869792,0.09375,0.04123,0.09375,0.04123,0.046875,0.029899,0.0625,0.03424,0.046875,0.290899,0.622153,0.608742,1.109574
high_noise,calibrated_deadline_guard,0.08,192,0.6875,0.065564,0.65625,0.3125,0.065564,0.291667,0.064294,0.052083,0.03143,0.260417,0.062077,0.088542,0.550194,1.786535,1.491762,5.921194
high_noise,calibrated_deadline_guard,0.12,192,0.479167,0.070664,0.479167,0.520833,0.070664,0.520833,0.070664,0.020833,0.020203,0.5,0.070725,0.072917,0.867547,3.155638,1.652466,6.775606
high_noise,calibrated_deadline_guard,0.16,192,0.380208,0.068666,0.359375,0.619792,0.068666,0.614583,0.068843,0.020833,0.020203,0.598958,0.069326,0.072917,1.016218,3.767815,1.715944,7.54122
high_noise,calibrated_deadline_guard,0.2,192,0.338542,0.066936,0.333333,0.661458,0.066936,0.65625,0.067183,0.010417,0.014361,0.651042,0.067421,0.052083,1.100029,3.977172,1.795554,7.559816
high_noise,deadline_threshold,0.04,192,0.921875,0.037961,0.875,0.072917,0.036777,0.0625,0.03424,0.046875,0.029899,0.03125,0.024611,0.026042,0.255136,0.444362,0.25915,0.046644
high_noise,deadline_threshold,0.08,192,0.71875,0.063598,0.708333,0.276042,0.063234,0.255208,0.061669,0.072917,0.036777,0.208333,0.057446,0.067708,0.510995,1.602656,1.518883,5.955918
high_noise,deadline_threshold,0.12,192,0.510417,0.07071,0.5,0.489583,0.07071,0.489583,0.07071,0.026042,0.022527,0.463542,0.070537,0.098958,0.822132,2.975067,1.643832,6.774683
high_noise,deadline_threshold,0.16,192,0.390625,0.069013,0.385417,0.609375,0.069013,0.604167,0.069174,0.026042,0.022527,0.583333,0.069736,0.072917,0.995674,3.689638,1.725575,7.545395
high_noise,deadline_threshold,0.2,192,0.338542,0.066936,0.317708,0.661458,0.066936,0.645833,0.06765,0.020833,0.020203,0.640625,0.067871,0.067708,1.092888,3.944636,1.7705,7.562038
high_noise,distance_only,0.04,192,0.822917,0.053997,0.807292,0.171875,0.053365,0.119792,0.045932,0.171875,0.053365,0.005208,0.010182,0.036458,0.336277,0.964957,1.058618,6.325176
high_noise,distance_only,0.08,192,0.640625,0.067871,0.635417,0.359375,0.067871,0.255208,0.061669,0.34375,0.067183,0.015625,0.017543,0.020833,0.505658,1.967841,1.231116,6.870255
high_noise,distance_only,0.12,192,0.520833,0.070664,0.515625,0.479167,0.070664,0.354167,0.06765,0.473958,0.070629,0.005208,0.010182,0.0,0.625434,2.662057,1.29675,6.908601
high_noise,distance_only,0.16,192,0.427083,0.069969,0.427083,0.572917,0.069969,0.432292,0.070074,0.572917,0.069969,0.0,0.0,0.005208,0.725504,3.166788,1.307298,6.903233
high_noise,distance_only,0.2,192,0.395833,0.069174,0.390625,0.598958,0.069326,0.447917,0.070341,0.604167,0.069174,0.0,0.0,0.0,0.748793,3.253012,1.304452,6.880627
high_noise,posterior_fixed,0.04,192,0.869792,0.047603,0.833333,0.130208,0.047603,0.119792,0.045932,0.026042,0.022527,0.125,0.04678,0.098958,0.329829,0.801296,1.107652,5.401329
high_noise,posterior_fixed,0.08,192,0.614583,0.068843,0.59375,0.385417,0.068843,0.380208,0.068666,0.020833,0.020203,0.385417,0.068843,0.213542,0.66612,2.363912,1.564278,6.745999
high_noise,posterior_fixed,0.12,192,0.401042,0.069326,0.40625,0.598958,0.069326,0.598958,0.069326,0.010417,0.014361,0.588542,0.069608,0.213542,0.968451,3.645415,1.673073,7.463107
high_noise,posterior_fixed,0.16,192,0.354167,0.06765,0.354167,0.645833,0.06765,0.645833,0.06765,0.0,0.0,0.65625,0.067183,0.125,1.060081,3.94394,1.738592,7.5485
high_noise,posterior_fixed,0.2,192,0.260417,0.062077,0.255208,0.739583,0.062077,0.739583,0.062077,0.0,0.0,0.765625,0.05992,0.161458,1.210744,4.536684,1.819306,7.567435
high_noise,risk_guard,0.04,192,0.755208,0.060819,0.729167,0.234375,0.05992,0.171875,0.053365,0.239583,0.060375,0.005208,0.010182,0.0,0.387232,1.33767,1.078869,6.814343
high_noise,risk_guard,0.08,192,0.6875,0.065564,0.671875,0.3125,0.065564,0.260417,0.062077,0.208333,0.057446,0.104167,0.04321,0.0,0.496431,1.787795,1.306059,6.836821
high_noise,risk_guard,0.12,192,0.505208,0.070722,0.505208,0.489583,0.07071,0.442708,0.07026,0.166667,0.052716,0.328125,0.066415,0.005208,0.767889,2.843168,1.644118,6.858649
high_noise,risk_guard,0.16,192,0.416667,0.069736,0.416667,0.583333,0.069736,0.5625,0.070171,0.114583,0.045055,0.46875,0.070587,0.0,0.938709,3.540842,1.718484,7.54655
high_noise,risk_guard,0.2,192,0.364583,0.068082,0.348958,0.630208,0.068285,0.614583,0.068843,0.078125,0.037961,0.557292,0.07026,0.005208,1.041861,3.811493,1.790862,7.560449
high_noise,risk_no_cost,0.04,192,0.755208,0.060819,0.760417,0.234375,0.05992,0.171875,0.053365,0.239583,0.060375,0.005208,0.010182,0.0,0.387821,1.337777,1.080106,6.822619
high_noise,risk_no_cost,0.08,192,0.6875,0.065564,0.692708,0.302083,0.064949,0.260417,0.062077,0.208333,0.057446,0.104167,0.04321,0.0,0.494312,1.779081,1.294466,6.818152
high_noise,risk_no_cost,0.12,192,0.505208,0.070722,0.515625,0.489583,0.07071,0.442708,0.07026,0.166667,0.052716,0.328125,0.066415,0.005208,0.761641,2.842043,1.606361,6.857796
high_noise,risk_no_cost,0.16,192,0.416667,0.069736,0.401042,0.583333,0.069736,0.5625,0.070171,0.114583,0.045055,0.46875,0.070587,0.0,0.932506,3.539726,1.704941,7.54462
high_noise,risk_no_cost,0.2,192,0.364583,0.068082,0.380208,0.635417,0.068082,0.614583,0.068843,0.078125,0.037961,0.557292,0.07026,0.005208,1.046469,3.816489,1.777735,7.560555
high_noise,risk_no_deadline,0.04,192,0.760417,0.060375,0.760417,0.229167,0.059451,0.166667,0.052716,0.239583,0.060375,0.005208,0.010182,0.0,0.382021,1.313555,1.049157,6.828972
