harm_scale,false_cost,policy,n,safe_success_mean,safe_success_ci95,final_success_mean,harmful_contact_mean,harmful_contact_ci95,late_switch_mean,late_switch_ci95,early_false_switch_mean,early_false_switch_ci95,deadline_violation_mean,deadline_violation_ci95,avoidable_lateness_mean,impulse_mean,expected_cost_mean,impulse_p90,expected_cost_p90
0.5,0.25,calibrated_deadline_guard,216,0.861111,0.04612,0.833333,0.134259,0.045467,0.12963,0.044795,0.032407,0.023616,0.106481,0.041136,0.027778,0.345603,0.288945,1.285675,1.63737
0.5,0.25,oracle_precontact,216,1.0,0.0,0.958333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174081,0.031335,0.224415,0.040395
0.5,0.25,posterior_cost_tuned,216,0.833333,0.049701,0.814815,0.166667,0.049701,0.138889,0.04612,0.078704,0.035911,0.087963,0.037773,0.023148,0.364541,0.324992,1.20286,1.88602
0.5,0.25,posterior_fixed,216,0.828704,0.050246,0.800926,0.166667,0.049701,0.162037,0.049142,0.023148,0.020054,0.148148,0.047376,0.069444,0.390455,0.351532,1.455215,1.919905
0.5,0.25,risk_guard,216,0.763889,0.056637,0.74537,0.222222,0.055444,0.189815,0.052298,0.180556,0.051297,0.055556,0.030548,0.0,0.397454,0.42432,1.102445,1.9643
0.5,0.25,v2_guard,216,0.805556,0.052781,0.787037,0.194444,0.052781,0.189815,0.052298,0.023148,0.020054,0.171296,0.050246,0.097222,0.421029,0.409119,1.485545,1.95145
0.5,0.75,calibrated_deadline_guard,216,0.851852,0.047376,0.833333,0.148148,0.047376,0.12963,0.044795,0.050926,0.029319,0.097222,0.03951,0.013889,0.344684,0.323849,1.165705,1.8204
0.5,0.75,oracle_precontact,216,1.0,0.0,0.944444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175041,0.031507,0.221785,0.03992
0.5,0.75,posterior_cost_tuned,216,0.847222,0.04798,0.805556,0.152778,0.04798,0.12963,0.044795,0.050926,0.029319,0.101852,0.040336,0.023148,0.352976,0.329624,1.30774,1.80614
0.5,0.75,posterior_fixed,216,0.851852,0.047376,0.805556,0.148148,0.047376,0.138889,0.04612,0.018519,0.017979,0.12963,0.044795,0.041667,0.364583,0.320949,1.411745,1.80761
