family,case_id,policy,mode,condition,velocity,switch_latency,switch_distance,false_cost,harm_scale,special,required_strategy,active_strategy_at_contact,predicted_mode,switch_target,switch_started_distance,deadline_margin,posterior_confidence,posterior_margin,safe_success,final_success,harmful_contact,late_switch,early_false_switch,deadline_violation,avoidable_lateness,impulse,expected_cost,switch_reason
family_c,500000,source_tuned_posterior,nominal,normal,0.08,0.04,0.0032,1.0,1.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.16301,0.02934,none
family_c,500000,calibrated_posterior,nominal,normal,0.08,0.04,0.0032,1.0,1.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.1387,0.02497,none
family_c,500000,risk_guard,nominal,normal,0.08,0.04,0.0032,1.0,1.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.15698,0.02826,none
family_c,500000,calibrated_deadline_guard,nominal,normal,0.08,0.04,0.0032,1.0,1.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.13208,0.02377,none
family_c,500000,oracle_precontact,nominal,normal,0.08,0.04,0.0032,1.0,1.0,none,pinch,pinch,nominal,pinch,0.078,0.0748,1.0,1.0,1,1,0,0,0,0,0,0.11844,0.02132,oracle
family_c,500001,source_tuned_posterior,thin_lip,normal,0.08,0.04,0.0032,1.0,1.0,none,scoop,scoop,thin_lip,scoop,0.033,0.0298,0.98018,0.96188,1,1,0,0,0,0,0,0.15219,0.02739,posterior_0.76_0.12
family_c,500001,calibrated_posterior,thin_lip,normal,0.08,0.04,0.0032,1.0,1.0,none,scoop,scoop,thin_lip,scoop,0.033,0.0298,0.95096,0.90855,1,1,0,0,0,0,0,0.11045,0.01988,posterior_0.70_0.08
family_c,500001,risk_guard,thin_lip,normal,0.08,0.04,0.0032,1.0,1.0,none,scoop,scoop,thin_lip,scoop,0.036,0.0328,0.71686,0.53507,1,1,0,0,0,0,0,0.11026,0.01985,risk_2.00_0.48
family_c,500001,calibrated_deadline_guard,thin_lip,normal,0.08,0.04,0.0032,1.0,1.0,none,scoop,scoop,thin_lip,scoop,0.033,0.0298,0.95096,0.90855,1,1,0,0,0,0,0,0.15036,0.02706,calibrated_deadline_guard
family_c,500001,oracle_precontact,thin_lip,normal,0.08,0.04,0.0032,1.0,1.0,none,scoop,scoop,thin_lip,scoop,0.078,0.0748,1.0,1.0,1,1,0,0,0,0,0,0.12026,0.02165,oracle
family_c,500002,source_tuned_posterior,slippery,normal,0.08,0.04,0.0032,1.0,1.0,none,cage,cage,slippery,cage,0.027,0.0238,0.92859,0.85727,1,1,0,0,0,0,0,0.12175,0.02191,posterior_0.76_0.12
family_c,500002,calibrated_posterior,slippery,normal,0.08,0.04,0.0032,1.0,1.0,none,cage,cage,slippery,cage,0.027,0.0238,0.88068,0.7621,1,1,0,0,0,0,0,0.12788,0.02302,posterior_0.70_0.08
family_c,500002,risk_guard,slippery,normal,0.08,0.04,0.0032,1.0,1.0,none,cage,cage,slippery,cage,0.027,0.0238,0.92859,0.85727,1,1,0,0,0,0,0,0.10589,0.01906,risk_2.49_0.08
