special,policy,n,safe_success_mean,safe_success_ci95,final_success_mean,harmful_contact_mean,harmful_contact_ci95,late_switch_mean,late_switch_ci95,early_false_switch_mean,early_false_switch_ci95,deadline_violation_mean,deadline_violation_ci95,avoidable_lateness_mean,impulse_mean,expected_cost_mean,impulse_p90,expected_cost_p90
early_switch_cost_high,calibrated_deadline_guard,336,0.779762,0.044311,0.741071,0.220238,0.044311,0.205357,0.043194,0.047619,0.022771,0.172619,0.04041,0.0625,0.463848,1.075606,1.51044,3.29911
early_switch_cost_high,deadline_threshold,336,0.78869,0.043652,0.747024,0.21131,0.043652,0.193452,0.042237,0.068452,0.027001,0.142857,0.037417,0.059524,0.445897,1.200053,1.46743,3.67696
early_switch_cost_high,oracle_precontact,336,1.0,0.0,0.96131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181385,0.032649,0.23644,0.04256
early_switch_cost_high,posterior_cost_tuned,336,0.806548,0.042237,0.797619,0.193452,0.042237,0.178571,0.040952,0.035714,0.019843,0.241071,0.045736,0.071429,0.42831,0.912215,1.483315,3.293485
early_switch_cost_high,posterior_fixed,336,0.803571,0.042482,0.770833,0.196429,0.042482,0.181548,0.041217,0.035714,0.019843,0.241071,0.045736,0.074405,0.43139,0.922888,1.49362,3.299065
early_switch_cost_high,risk_guard,336,0.770833,0.044941,0.723214,0.229167,0.044941,0.199405,0.042723,0.133929,0.036417,0.095238,0.031388,0.02381,0.457904,1.742096,1.4345,10.602515
early_switch_cost_high,v2_guard,336,0.6875,0.049562,0.675595,0.3125,0.049562,0.300595,0.049028,0.026786,0.017264,0.285714,0.048305,0.184524,0.595944,1.250871,1.61022,3.69802
equal_impulse,calibrated_deadline_guard,336,0.818452,0.041217,0.827381,0.0,0.0,0.172619,0.04041,0.03869,0.020621,0.142857,0.037417,0.0625,0.336314,0.159643,0.378655,0.417225
equal_impulse,deadline_threshold,336,0.821429,0.040952,0.83631,0.0,0.0,0.16369,0.039562,0.068452,0.027001,0.110119,0.033472,0.056548,0.337216,0.186443,0.378655,0.4175
equal_impulse,oracle_precontact,336,1.0,0.0,0.973214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337353,0.060723,0.378445,0.06812
equal_impulse,posterior_cost_tuned,336,0.863095,0.036756,0.869048,0.0,0.0,0.116071,0.03425,0.068452,0.027001,0.14881,0.038055,0.032738,0.337066,0.169749,0.38065,0.41743
equal_impulse,posterior_fixed,336,0.839286,0.039271,0.85119,0.0,0.0,0.157738,0.038974,0.020833,0.015272,0.232143,0.045144,0.083333,0.33646,0.136604,0.37755,0.415755
equal_impulse,risk_guard,336,0.776786,0.044524,0.791667,0.0,0.0,0.16369,0.039562,0.184524,0.041478,0.03869,0.020621,0.002976,0.335434,0.302194,0.37439,1.4026
equal_impulse,v2_guard,336,0.723214,0.04784,0.732143,0.0,0.0,0.27381,0.04768,0.020833,0.015272,0.255952,0.046662,0.181548,0.335701,0.177093,0.37542,0.41739
evidence_at_contact,calibrated_deadline_guard,336,0.166667,0.039849,0.16369,0.833333,0.039849,0.833333,0.039849,0.0,0.0,0.833333,0.039849,0.0,1.220847,2.778086,1.670325,4.09031
evidence_at_contact,deadline_threshold,336,0.166667,0.039849,0.172619,0.833333,0.039849,0.833333,0.039849,0.0,0.0,0.833333,0.039849,0.0,1.21753,2.777489,1.650465,4.08478
evidence_at_contact,oracle_precontact,336,1.0,0.0,0.967262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181854,0.032734,0.23411,0.04214
evidence_at_contact,posterior_cost_tuned,336,0.166667,0.039849,0.169643,0.833333,0.039849,0.833333,0.039849,0.0,0.0,0.83631,0.039562,0.0,1.219824,2.777902,1.668385,4.087975
evidence_at_contact,posterior_fixed,336,0.166667,0.039849,0.169643,0.833333,0.039849,0.833333,0.039849,0.0,0.0,0.83631,0.039562,0.0,1.220626,2.778046,1.66,4.08868
evidence_at_contact,risk_guard,336,0.166667,0.039849,0.160714,0.833333,0.039849,0.833333,0.039849,0.0,0.0,0.833333,0.039849,0.0,1.220192,2.777968,1.67933,4.08273
evidence_at_contact,v2_guard,336,0.166667,0.039849,0.172619,0.833333,0.039849,0.833333,0.039849,0.0,0.0,0.833333,0.039849,0.0,1.219503,2.777844,1.672595,4.08902
no_hidden_mode,calibrated_deadline_guard,56,0.946429,0.058976,0.910714,0.035714,0.048606,0.0,0.0,0.053571,0.058976,0.0,0.0,0.0,0.217188,0.106951,0.24476,0.04406
no_hidden_mode,deadline_threshold,56,0.892857,0.081009,0.785714,0.089286,0.074687,0.0,0.0,0.107143,0.081009,0.0,0.0,0.0,0.252143,0.188242,0.400375,0.57207
