condition,objective,conf,margin,safe_success_rate,harmful_contact_rate,late_switch_rate,expected_cost_mean
normal,safe,0.54,0.04,0.6458333333333334,0.3333333333333333,0.2847222222222222,1.1400809722222227
normal,safe,0.54,0.12,0.6458333333333334,0.3333333333333333,0.2847222222222222,1.1400809722222227
normal,safe,0.54,0.22,0.6458333333333334,0.3333333333333333,0.2847222222222222,1.1400809722222227
normal,safe,0.54,0.34,0.6527777777777778,0.3263888888888889,0.2916666666666667,1.1352756250000007
normal,safe,0.64,0.04,0.6805555555555556,0.3055555555555556,0.2777777777777778,1.0594631944444446
normal,safe,0.64,0.12,0.6805555555555556,0.3055555555555556,0.2777777777777778,1.0594631944444446
normal,safe,0.64,0.22,0.6805555555555556,0.3055555555555556,0.2777777777777778,1.0594631944444446
normal,safe,0.64,0.34,0.6875,0.2986111111111111,0.2777777777777778,1.048925416666667
normal,safe,0.74,0.04,0.7152777777777778,0.2777777777777778,0.2708333333333333,0.9876467361111116
normal,safe,0.74,0.12,0.7152777777777778,0.2777777777777778,0.2708333333333333,0.9876467361111116
normal,safe,0.74,0.22,0.7152777777777778,0.2777777777777778,0.2708333333333333,0.9876467361111116
normal,safe,0.74,0.34,0.7152777777777778,0.2777777777777778,0.2708333333333333,0.9876467361111116
normal,safe,0.84,0.04,0.75,0.25,0.25,0.8833886111111116
normal,safe,0.84,0.12,0.75,0.25,0.25,0.8833886111111116
normal,safe,0.84,0.22,0.75,0.25,0.25,0.8833886111111116
normal,safe,0.84,0.34,0.75,0.25,0.25,0.8833886111111116
normal,safe,0.94,0.04,0.7361111111111112,0.2638888888888889,0.2638888888888889,0.9231972222222224
normal,safe,0.94,0.12,0.7361111111111112,0.2638888888888889,0.2638888888888889,0.9231972222222224
normal,safe,0.94,0.22,0.7361111111111112,0.2638888888888889,0.2638888888888889,0.9231972222222224
normal,safe,0.94,0.34,0.7361111111111112,0.2638888888888889,0.2638888888888889,0.9231972222222224
