condition,policy,switch_latency,n,safe_success_mean,safe_success_ci95,final_success_mean,harmful_contact_mean,harmful_contact_ci95,late_switch_mean,late_switch_ci95,early_false_switch_mean,early_false_switch_ci95,deadline_violation_mean,deadline_violation_ci95,avoidable_lateness_mean,impulse_mean,expected_cost_mean,impulse_p90,expected_cost_p90
mixed_velocity_shift,calibrated_deadline_guard,0.04,192,0.953125,0.029899,0.921875,0.036458,0.026512,0.020833,0.020203,0.046875,0.029899,0.0,0.0,0.0,0.215268,0.151248,0.256855,0.04623
mixed_velocity_shift,calibrated_deadline_guard,0.08,192,0.838542,0.052047,0.817708,0.15625,0.05136,0.151042,0.050652,0.041667,0.028266,0.119792,0.045932,0.041667,0.380853,0.55397,1.480356,3.232606
mixed_velocity_shift,calibrated_deadline_guard,0.12,192,0.588542,0.069608,0.572917,0.411458,0.069608,0.411458,0.069608,0.015625,0.017543,0.395833,0.069174,0.046875,0.745297,1.404466,1.719885,3.71334
mixed_velocity_shift,calibrated_deadline_guard,0.18,192,0.536458,0.070537,0.53125,0.463542,0.070537,0.458333,0.070479,0.026042,0.022527,0.4375,0.070171,0.010417,0.844378,1.579852,1.793917,3.901958
mixed_velocity_shift,calibrated_posterior,0.04,192,0.932292,0.035539,0.890625,0.0625,0.03424,0.03125,0.024611,0.067708,0.035539,0.0,0.0,0.0,0.230896,0.216561,0.263737,0.047474
mixed_velocity_shift,calibrated_posterior,0.08,192,0.807292,0.055792,0.78125,0.1875,0.05521,0.177083,0.053997,0.057292,0.032873,0.140625,0.049173,0.067708,0.426373,0.6968,1.508073,3.650006
mixed_velocity_shift,calibrated_posterior,0.12,192,0.578125,0.069857,0.572917,0.421875,0.069857,0.40625,0.069471,0.026042,0.022527,0.401042,0.069326,0.046875,0.754783,1.415809,1.737627,3.725076
mixed_velocity_shift,calibrated_posterior,0.18,192,0.546875,0.070414,0.515625,0.453125,0.070414,0.447917,0.070341,0.020833,0.020203,0.4375,0.070171,0.0,0.835634,1.541821,1.814283,3.741996
mixed_velocity_shift,oracle_precontact,0.04,192,1.0,0.0,0.927083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180804,0.032545,0.252855,0.045516
mixed_velocity_shift,oracle_precontact,0.08,192,1.0,0.0,0.979167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184128,0.033143,0.254306,0.045776
mixed_velocity_shift,oracle_precontact,0.12,192,1.0,0.0,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180696,0.032525,0.247591,0.044568
mixed_velocity_shift,oracle_precontact,0.18,192,1.0,0.0,0.958333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183723,0.03307,0.254174,0.045755
mixed_velocity_shift,risk_guard,0.04,192,0.640625,0.067871,0.630208,0.322917,0.066141,0.239583,0.060375,0.359375,0.067871,0.0,0.0,0.0,0.466644,1.175923,1.145311,4.180818
mixed_velocity_shift,risk_guard,0.08,192,0.682292,0.065857,0.661458,0.296875,0.064626,0.234375,0.05992,0.296875,0.064626,0.020833,0.020203,0.0,0.461952,1.086537,1.207952,4.188867
