condition,policy,n,safe_success_mean,safe_success_ci95,final_success_mean,harmful_contact_mean,harmful_contact_ci95,late_switch_mean,late_switch_ci95,early_false_switch_mean,early_false_switch_ci95,deadline_violation_mean,deadline_violation_ci95,avoidable_lateness_mean,impulse_mean,expected_cost_mean,impulse_p90,expected_cost_p90
mixed_velocity_shift,calibrated_deadline_guard,768,0.729167,0.03143,0.710938,0.266927,0.031286,0.260417,0.031039,0.032552,0.012551,0.238281,0.030131,0.02474,0.546449,0.922384,1.658665,3.691951
mixed_velocity_shift,calibrated_posterior,768,0.716146,0.031888,0.690104,0.28125,0.031799,0.265625,0.031237,0.042969,0.014342,0.244792,0.030409,0.028646,0.561922,0.967748,1.69506,3.706641
mixed_velocity_shift,oracle_precontact,768,1.0,0.0,0.958333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182338,0.032821,0.253271,0.045586
mixed_velocity_shift,risk_guard,768,0.565104,0.035062,0.552083,0.415365,0.034852,0.354167,0.033825,0.259115,0.030988,0.175781,0.02692,0.003906,0.648712,1.45837,1.625042,4.177634
mixed_velocity_shift,source_tuned_posterior,768,0.683594,0.032893,0.666667,0.304688,0.032553,0.277344,0.031663,0.105469,0.021724,0.223958,0.029485,0.026042,0.573309,1.06856,1.667512,3.73943
noise_shift,calibrated_deadline_guard,768,0.615885,0.0344,0.598958,0.38151,0.034355,0.36849,0.034118,0.03776,0.013481,0.346354,0.033652,0.063802,0.676377,1.281448,1.639538,3.697988
noise_shift,calibrated_posterior,768,0.614583,0.034422,0.584635,0.384115,0.0344,0.371094,0.034167,0.046875,0.014949,0.358073,0.033908,0.0625,0.68285,1.318681,1.653703,3.721532
noise_shift,oracle_precontact,768,1.0,0.0,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182804,0.032905,0.238734,0.042974
noise_shift,risk_guard,768,0.411458,0.034804,0.417969,0.582031,0.034884,0.451823,0.035198,0.460938,0.035255,0.127604,0.023597,0.003906,0.757747,2.005014,1.503064,4.22515
noise_shift,source_tuned_posterior,768,0.50651,0.03536,0.490885,0.488281,0.035353,0.38151,0.034355,0.338542,0.033468,0.200521,0.028318,0.046875,0.687723,1.674376,1.540404,4.218242
normal,calibrated_deadline_guard,768,0.752604,0.030518,0.731771,0.246094,0.030464,0.234375,0.02996,0.040365,0.01392,0.207031,0.028656,0.027344,0.501961,0.844975,1.55756,3.572411
normal,calibrated_posterior,768,0.740885,0.030988,0.729167,0.255208,0.030835,0.235677,0.030017,0.05599,0.01626,0.216146,0.029112,0.029948,0.509162,0.875764,1.58796,3.672595
normal,oracle_precontact,768,1.0,0.0,0.966146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181059,0.032591,0.237844,0.042813
normal,risk_guard,768,0.657552,0.033561,0.64974,0.335938,0.033405,0.278646,0.031709,0.183594,0.027382,0.158854,0.025853,0.001302,0.555145,1.140486,1.558612,4.121647
normal,source_tuned_posterior,768,0.72526,0.031571,0.716146,0.270833,0.03143,0.247396,0.030518,0.078125,0.01898,0.209635,0.028789,0.036458,0.520417,0.938988,1.5698,3.701972
onset_early_shift,calibrated_deadline_guard,768,0.864583,0.0242,0.84375,0.135417,0.0242,0.123698,0.023285,0.036458,0.013256,0.098958,0.021119,0.013021,0.351874,0.476684,1.276633,2.700295
onset_early_shift,calibrated_posterior,768,0.841146,0.025853,0.815104,0.15625,0.02568,0.139323,0.024491,0.066406,0.01761,0.108073,0.021958,0.018229,0.372639,0.569484,1.224245,3.28414
onset_early_shift,oracle_precontact,768,1.0,0.0,0.949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181052,0.03259,0.236533,0.04258
onset_early_shift,risk_guard,768,0.671875,0.033208,0.654948,0.325521,0.03314,0.247396,0.030518,0.222656,0.029424,0.105469,0.021724,0.0,0.517862,1.08039,1.391732,4.182476
onset_early_shift,source_tuned_posterior,768,0.755208,0.030409,0.730469,0.242188,0.030299,0.214844,0.029048,0.11849,0.022858,0.144531,0.024869,0.023438,0.465126,0.868553,1.549072,4.127991
onset_late_shift,calibrated_deadline_guard,768,0.511719,0.035353,0.494792,0.488281,0.035353,0.481771,0.035339,0.026042,0.011264,0.46224,0.035262,0.046875,0.815923,1.645499,1.658945,4.075659
onset_late_shift,calibrated_posterior,768,0.514323,0.035348,0.492188,0.485677,0.035348,0.480469,0.035336,0.020833,0.010101,0.49349,0.03536,0.049479,0.819089,1.649389,1.674945,4.077887
onset_late_shift,oracle_precontact,768,1.0,0.0,0.96224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18065,0.032517,0.237875,0.04282
