family,case_id,policy,mode,condition,velocity,switch_latency,switch_distance,false_cost,harm_scale,special,required_strategy,active_strategy_at_contact,predicted_mode,switch_target,switch_started_distance,deadline_margin,posterior_confidence,posterior_margin,safe_success,final_success,harmful_contact,late_switch,early_false_switch,deadline_violation,avoidable_lateness,impulse,expected_cost,switch_reason
family_e,900000,posterior_fixed,nominal,normal,0.08,0.04,0.0032,1.0,2.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.1196,0.02153,none
family_e,900000,deadline_threshold,nominal,normal,0.08,0.04,0.0032,1.0,2.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.1172,0.0211,none
family_e,900000,risk_guard,nominal,normal,0.08,0.04,0.0032,1.0,2.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.1471,0.02648,none
family_e,900000,calibrated_deadline_guard,nominal,normal,0.08,0.04,0.0032,1.0,2.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.14812,0.02666,none
family_e,900000,risk_no_deadline,nominal,normal,0.08,0.04,0.0032,1.0,2.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.12037,0.02167,none
family_e,900000,risk_no_cost,nominal,normal,0.08,0.04,0.0032,1.0,2.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.11109,0.02,none
family_e,900000,risk_no_margin,nominal,normal,0.08,0.04,0.0032,1.0,2.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.07302,0.01314,none
family_e,900000,distance_only,nominal,normal,0.08,0.04,0.0032,1.0,2.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.16678,0.03002,none
family_e,900001,posterior_fixed,thin_lip,normal,0.08,0.04,0.0032,1.0,2.0,none,scoop,scoop,thin_lip,scoop,0.033,0.0298,0.94823,0.9089,1,1,0,0,0,0,0,0.1538,0.02768,posterior_0.90_0.24
family_e,900001,deadline_threshold,thin_lip,normal,0.08,0.04,0.0032,1.0,2.0,none,scoop,scoop,thin_lip,scoop,0.033,0.0298,0.94823,0.9089,1,1,0,0,0,0,0,0.14196,0.02555,deadline_threshold
family_e,900001,risk_guard,thin_lip,normal,0.08,0.04,0.0032,1.0,2.0,none,scoop,scoop,thin_lip,scoop,0.039,0.0358,0.6557,0.5284,1,1,0,0,0,0,0,0.15529,0.02795,risk_3.56_0.76
family_e,900001,calibrated_deadline_guard,thin_lip,normal,0.08,0.04,0.0032,1.0,2.0,none,scoop,scoop,thin_lip,scoop,0.033,0.0298,0.89146,0.81728,1,1,0,0,0,0,0,0.14705,0.02647,calibrated_deadline_guard
family_e,900001,risk_no_deadline,thin_lip,normal,0.08,0.04,0.0032,1.0,2.0,none,scoop,scoop,thin_lip,scoop,0.039,0.0358,0.6557,0.5284,1,1,0,0,0,0,0,0.12398,0.02232,risk_3.56_0.76
family_e,900001,risk_no_cost,thin_lip,normal,0.08,0.04,0.0032,1.0,2.0,none,scoop,scoop,thin_lip,scoop,0.039,0.0358,0.6557,0.5284,1,1,0,0,0,0,0,0.13924,0.02506,risk_0.99_0.34
family_e,900001,risk_no_margin,thin_lip,normal,0.08,0.04,0.0032,1.0,2.0,none,scoop,scoop,thin_lip,scoop,0.039,0.0358,0.6557,0.5284,1,1,0,0,0,0,0,0.18488,0.03328,risk_3.56_0.76
family_e,900001,distance_only,thin_lip,normal,0.08,0.04,0.0032,1.0,2.0,none,scoop,scoop,thin_lip,scoop,0.015,0.0118,1.0,1.0,1,1,0,0,0,0,0,0.18001,0.0324,distance_only
family_e,900002,posterior_fixed,slippery,normal,0.08,0.04,0.0032,1.0,2.0,none,cage,cage,slippery,cage,0.03,0.0268,0.94591,0.92114,1,1,0,0,0,0,0,0.15419,0.02775,posterior_0.90_0.24
family_e,900002,deadline_threshold,slippery,normal,0.08,0.04,0.0032,1.0,2.0,none,cage,cage,slippery,cage,0.03,0.0268,0.94591,0.91857,1,1,0,0,0,0,0,0.11081,0.01995,deadline_threshold
family_e,900002,risk_guard,slippery,normal,0.08,0.04,0.0032,1.0,2.0,none,cage,cage,slippery,cage,0.03,0.0268,0.94591,0.92114,1,1,0,0,0,0,0,0.10919,0.01965,risk_4.85_0.13
family_e,900002,calibrated_deadline_guard,slippery,normal,0.08,0.04,0.0032,1.0,2.0,none,cage,cage,slippery,cage,0.03,0.0268,0.88071,0.82083,1,1,0,0,0,0,0,0.07231,0.01302,calibrated_deadline_guard
family_e,900002,risk_no_deadline,slippery,normal,0.08,0.04,0.0032,1.0,2.0,none,cage,cage,slippery,cage,0.03,0.0268,0.94591,0.92114,1,1,0,0,0,0,0,0.14439,0.02599,risk_4.85_0.13
family_e,900002,risk_no_cost,slippery,normal,0.08,0.04,0.0032,1.0,2.0,none,cage,cage,slippery,cage,0.03,0.0268,0.94591,0.92114,1,1,0,0,0,0,0,0.15787,0.02842,risk_1.22_0.05
family_e,900002,risk_no_margin,slippery,normal,0.08,0.04,0.0032,1.0,2.0,none,cage,cage,slippery,cage,0.03,0.0268,0.94591,0.92114,1,1,0,0,0,0,0,0.13095,0.02357,risk_4.85_0.13
family_e,900002,distance_only,slippery,normal,0.08,0.04,0.0032,1.0,2.0,none,cage,cage,slippery,cage,0.015,0.0118,1.0,1.0,1,1,0,0,0,0,0,0.12432,0.02238,distance_only
