condition,objective,conf,margin,safe_success_rate,harmful_contact_rate,late_switch_rate,expected_cost_mean
weak_cue,safe,0.54,0.04,0.4097222222222222,0.5763888888888888,0.5486111111111112,1.9654875694444454
weak_cue,safe,0.54,0.12,0.4097222222222222,0.5763888888888888,0.5486111111111112,1.9654875694444454
weak_cue,safe,0.54,0.22,0.4166666666666667,0.5694444444444444,0.5416666666666666,1.93660951388889
weak_cue,safe,0.54,0.34,0.4236111111111111,0.5625,0.5416666666666666,1.9232737500000008
weak_cue,safe,0.64,0.04,0.4236111111111111,0.5625,0.5555555555555556,1.93666638888889
weak_cue,safe,0.64,0.12,0.4236111111111111,0.5625,0.5555555555555556,1.93666638888889
weak_cue,safe,0.64,0.22,0.4236111111111111,0.5625,0.5555555555555556,1.93666638888889
weak_cue,safe,0.64,0.34,0.4236111111111111,0.5625,0.5555555555555556,1.93666638888889
weak_cue,safe,0.74,0.04,0.4236111111111111,0.5694444444444444,0.5555555555555556,1.91643638888889
weak_cue,safe,0.74,0.12,0.4236111111111111,0.5694444444444444,0.5555555555555556,1.91643638888889
weak_cue,safe,0.74,0.22,0.4236111111111111,0.5694444444444444,0.5555555555555556,1.91643638888889
weak_cue,safe,0.74,0.34,0.4236111111111111,0.5694444444444444,0.5555555555555556,1.91643638888889
weak_cue,safe,0.84,0.04,0.4027777777777778,0.5972222222222222,0.5972222222222222,2.0234070833333337
weak_cue,safe,0.84,0.12,0.4027777777777778,0.5972222222222222,0.5972222222222222,2.0234070833333337
weak_cue,safe,0.84,0.22,0.4027777777777778,0.5972222222222222,0.5972222222222222,2.0234070833333337
weak_cue,safe,0.84,0.34,0.4027777777777778,0.5972222222222222,0.5972222222222222,2.0234070833333337
weak_cue,safe,0.94,0.04,0.3680555555555556,0.6319444444444444,0.6319444444444444,2.121405347222223
weak_cue,safe,0.94,0.12,0.3680555555555556,0.6319444444444444,0.6319444444444444,2.121405347222223
weak_cue,safe,0.94,0.22,0.3680555555555556,0.6319444444444444,0.6319444444444444,2.121405347222223
weak_cue,safe,0.94,0.34,0.3680555555555556,0.6319444444444444,0.6319444444444444,2.121405347222223
