condition,policy,mode,n,safe_success_mean,safe_success_ci95,final_success_mean,harmful_contact_mean,harmful_contact_ci95,late_switch_mean,late_switch_ci95,early_false_switch_mean,early_false_switch_ci95,deadline_violation_mean,deadline_violation_ci95,avoidable_lateness_mean,impulse_mean,expected_cost_mean,impulse_p90,expected_cost_p90
early_cue,calibrated_deadline_guard,compliant_skin,280,0.921429,0.031517,0.917857,0.078571,0.031517,0.078571,0.031517,0.003571,0.006987,0.075,0.030852,0.025,0.28743,0.322452,0.250152,0.045029
early_cue,calibrated_deadline_guard,fragile,280,0.942857,0.027188,0.889286,0.057143,0.027188,0.057143,0.027188,0.0,0.0,0.057143,0.027188,0.014286,0.267149,0.26523,0.242784,0.043701
early_cue,calibrated_deadline_guard,nominal,280,0.939286,0.027972,0.907143,0.057143,0.027188,0.0,0.0,0.060714,0.027972,0.0,0.0,0.0,0.207915,0.120996,0.251765,0.045315
early_cue,calibrated_deadline_guard,occluded_rim,280,0.846429,0.042231,0.832143,0.153571,0.042231,0.153571,0.042231,0.067857,0.029459,0.085714,0.03279,0.014286,0.35965,0.593308,1.258137,3.298694
early_cue,calibrated_deadline_guard,slippery,280,0.882143,0.037768,0.853571,0.117857,0.037768,0.117857,0.037768,0.021429,0.016962,0.096429,0.034575,0.025,0.309338,0.359967,1.085438,2.650651
early_cue,calibrated_deadline_guard,thin_lip,280,0.928571,0.030166,0.9,0.071429,0.030166,0.071429,0.030166,0.017857,0.015512,0.053571,0.026375,0.014286,0.259786,0.261047,0.249795,0.044964
early_cue,contact_reactive,compliant_skin,280,0.142857,0.040988,0.235714,0.857143,0.040988,0.857143,0.040988,0.0,0.0,0.857143,0.040988,0.0,1.264799,3.14195,1.67034,3.700664
early_cue,contact_reactive,fragile,280,0.142857,0.040988,0.235714,0.857143,0.040988,0.857143,0.040988,0.0,0.0,0.857143,0.040988,0.0,1.410041,3.51095,1.8197,4.127544
early_cue,contact_reactive,nominal,280,1.0,0.0,0.964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168172,0.030271,0.227874,0.041014
early_cue,contact_reactive,occluded_rim,280,0.142857,0.040988,0.232143,0.857143,0.040988,0.857143,0.040988,0.0,0.0,0.857143,0.040988,0.0,1.206485,2.788596,1.592953,3.286727
early_cue,contact_reactive,slippery,280,0.142857,0.040988,0.285714,0.857143,0.040988,0.857143,0.040988,0.0,0.0,0.857143,0.040988,0.0,1.09403,2.254068,1.460894,2.662957
early_cue,contact_reactive,thin_lip,280,0.142857,0.040988,0.289286,0.857143,0.040988,0.857143,0.040988,0.0,0.0,0.857143,0.040988,0.0,1.162078,2.566317,1.543495,3.027825
early_cue,deadline_threshold,compliant_skin,280,0.928571,0.030166,0.903571,0.071429,0.030166,0.071429,0.030166,0.007143,0.009864,0.064286,0.028728,0.014286,0.273085,0.299155,0.244399,0.043995
early_cue,deadline_threshold,fragile,280,0.939286,0.027972,0.903571,0.060714,0.027972,0.060714,0.027972,0.007143,0.009864,0.053571,0.026375,0.025,0.267973,0.286092,0.241407,0.043453
early_cue,deadline_threshold,nominal,280,0.882143,0.037768,0.867857,0.1,0.03514,0.0,0.0,0.117857,0.037768,0.0,0.0,0.0,0.241673,0.201358,0.638153,1.154869
early_cue,deadline_threshold,occluded_rim,280,0.835714,0.043402,0.803571,0.164286,0.043402,0.164286,0.043402,0.089286,0.033401,0.075,0.030852,0.017857,0.360575,0.647046,1.208323,3.311954
early_cue,deadline_threshold,slippery,280,0.871429,0.039207,0.85,0.128571,0.039207,0.128571,0.039207,0.039286,0.022756,0.089286,0.033401,0.032143,0.315375,0.404624,1.003364,2.657941
early_cue,deadline_threshold,thin_lip,280,0.928571,0.030166,0.903571,0.071429,0.030166,0.071429,0.030166,0.025,0.018287,0.046429,0.024646,0.014286,0.256195,0.267544,0.251902,0.045343
early_cue,fixed_nominal,compliant_skin,280,0.0,0.0,0.017857,1.0,0.0,1.0,0.0,0.0,0.0,0.857143,0.040988,0.0,1.429232,3.657261,1.674631,3.70143
early_cue,fixed_nominal,fragile,280,0.0,0.0,0.007143,1.0,0.0,1.0,0.0,0.0,0.0,0.857143,0.040988,0.0,1.596036,4.087287,1.837644,4.130773
early_cue,fixed_nominal,nominal,280,1.0,0.0,0.960714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169095,0.030437,0.230179,0.041429
early_cue,fixed_nominal,occluded_rim,280,0.0,0.0,0.021429,1.0,0.0,1.0,0.0,0.0,0.0,0.857143,0.040988,0.0,1.355772,3.244039,1.587181,3.285694
early_cue,fixed_nominal,slippery,280,0.0,0.0,0.025,1.0,0.0,1.0,0.0,0.0,0.0,0.857143,0.040988,0.0,1.216656,2.618998,1.436401,2.658554
early_cue,fixed_nominal,thin_lip,280,0.0,0.0,0.010714,1.0,0.0,1.0,0.0,0.0,0.0,0.857143,0.040988,0.0,1.300069,2.984012,1.533351,3.026004
early_cue,oracle_precontact,compliant_skin,280,1.0,0.0,0.964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173815,0.031287,0.235264,0.04235
early_cue,oracle_precontact,fragile,280,1.0,0.0,0.971429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168196,0.030275,0.230887,0.041563
early_cue,oracle_precontact,nominal,280,1.0,0.0,0.960714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170568,0.030702,0.231484,0.041666
early_cue,oracle_precontact,occluded_rim,280,1.0,0.0,0.942857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171074,0.030793,0.226148,0.040707
early_cue,oracle_precontact,slippery,280,1.0,0.0,0.964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168543,0.030338,0.231604,0.041693
early_cue,oracle_precontact,thin_lip,280,1.0,0.0,0.946429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167612,0.03017,0.226036,0.040688
early_cue,posterior_fixed,compliant_skin,280,0.907143,0.033996,0.885714,0.092857,0.033996,0.092857,0.033996,0.003571,0.006987,0.1,0.03514,0.039286,0.305945,0.374356,0.269525,0.048513
early_cue,posterior_fixed,fragile,280,0.914286,0.03279,0.889286,0.085714,0.03279,0.085714,0.03279,0.0,0.0,0.092857,0.033996,0.05,0.315808,0.38256,0.260793,0.046946
early_cue,posterior_fixed,nominal,280,0.964286,0.021737,0.921429,0.032143,0.02066,0.0,0.0,0.035714,0.021737,0.003571,0.006987,0.0,0.19034,0.082832,0.24034,0.043262
early_cue,posterior_fixed,occluded_rim,280,0.871429,0.039207,0.846429,0.128571,0.039207,0.128571,0.039207,0.035714,0.021737,0.1,0.03514,0.017857,0.33373,0.4815,1.186091,3.287385
early_cue,posterior_fixed,slippery,280,0.896429,0.035691,0.875,0.103571,0.035691,0.103571,0.035691,0.007143,0.009864,0.1,0.03514,0.039286,0.296484,0.309081,0.624781,2.630438
early_cue,posterior_fixed,thin_lip,280,0.942857,0.027188,0.921429,0.057143,0.027188,0.057143,0.027188,0.007143,0.009864,0.05,0.025528,0.014286,0.24681,0.208712,0.236773,0.042622
early_cue,posterior_tuned,compliant_skin,280,0.910714,0.033401,0.889286,0.089286,0.033401,0.089286,0.033401,0.014286,0.0139,0.085714,0.03279,0.025,0.29569,0.371081,0.263893,0.047501
early_cue,posterior_tuned,fragile,280,0.917857,0.032162,0.892857,0.082143,0.032162,0.082143,0.032162,0.003571,0.006987,0.082143,0.032162,0.046429,0.305777,0.370754,0.25681,0.046223
early_cue,posterior_tuned,nominal,280,0.885714,0.037267,0.864286,0.1,0.03514,0.0,0.0,0.114286,0.037267,0.003571,0.006987,0.0,0.243678,0.198147,0.636105,1.154496
early_cue,posterior_tuned,occluded_rim,280,0.835714,0.043402,0.814286,0.164286,0.043402,0.164286,0.043402,0.075,0.030852,0.092857,0.033996,0.017857,0.370675,0.634579,1.277938,3.300721
early_cue,posterior_tuned,slippery,280,0.892857,0.036228,0.878571,0.107143,0.036228,0.107143,0.036228,0.017857,0.015512,0.092857,0.033996,0.032143,0.298233,0.328682,0.87545,2.656661
early_cue,posterior_tuned,thin_lip,280,0.932143,0.029459,0.885714,0.067857,0.029459,0.067857,0.029459,0.021429,0.016962,0.046429,0.024646,0.014286,0.253351,0.253639,0.249058,0.04483
early_cue,risk_guard,compliant_skin,280,0.875,0.038738,0.842857,0.125,0.038738,0.125,0.038738,0.078571,0.031517,0.046429,0.024646,0.003571,0.319643,0.561107,1.094559,3.718431
early_cue,risk_guard,fragile,280,0.925,0.030852,0.892857,0.075,0.030852,0.075,0.030852,0.039286,0.022756,0.035714,0.021737,0.003571,0.277489,0.374234,0.251506,0.045273
early_cue,risk_guard,nominal,280,0.542857,0.058351,0.575,0.364286,0.056368,0.0,0.0,0.457143,0.058351,0.0,0.0,0.0,0.446725,0.683268,0.910563,1.563904
early_cue,risk_guard,occluded_rim,280,0.567857,0.058024,0.553571,0.432143,0.058024,0.432143,0.058024,0.371429,0.056597,0.060714,0.027972,0.0,0.601679,1.776159,1.24901,4.213303
early_cue,risk_guard,slippery,280,0.714286,0.052915,0.7,0.285714,0.052915,0.285714,0.052915,0.235714,0.049716,0.05,0.025528,0.0,0.433388,0.999438,1.120998,3.588128
early_cue,risk_guard,thin_lip,280,0.917857,0.032162,0.9,0.082143,0.032162,0.082143,0.032162,0.039286,0.022756,0.042857,0.023723,0.003571,0.266237,0.313101,0.261541,0.04708
early_cue,v2_guard,compliant_skin,280,0.9,0.03514,0.871429,0.1,0.03514,0.1,0.03514,0.003571,0.006987,0.096429,0.034575,0.046429,0.315182,0.400304,0.393435,0.413211
early_cue,v2_guard,fragile,280,0.903571,0.034575,0.871429,0.096429,0.034575,0.096429,0.034575,0.0,0.0,0.096429,0.034575,0.060714,0.326036,0.425115,0.257579,0.046366
early_cue,v2_guard,nominal,280,0.964286,0.021737,0.925,0.021429,0.016962,0.0,0.0,0.035714,0.021737,0.0,0.0,0.0,0.189187,0.07834,0.242293,0.043611
early_cue,v2_guard,occluded_rim,280,0.860714,0.040556,0.825,0.139286,0.040556,0.139286,0.040556,0.028571,0.019514,0.110714,0.036754,0.032143,0.353838,0.51012,1.504773,3.283176
early_cue,v2_guard,slippery,280,0.882143,0.037768,0.853571,0.117857,0.037768,0.117857,0.037768,0.007143,0.009864,0.110714,0.036754,0.05,0.313334,0.3464,1.318676,2.641379
early_cue,v2_guard,thin_lip,280,0.917857,0.032162,0.860714,0.082143,0.032162,0.082143,0.032162,0.007143,0.009864,0.075,0.030852,0.039286,0.281543,0.283714,0.255713,0.046032
high_noise,calibrated_deadline_guard,compliant_skin,280,0.717857,0.052715,0.685714,0.282143,0.052715,0.282143,0.052715,0.010714,0.012059,0.271429,0.052088,0.064286,0.563271,1.071389,1.644488,3.700087
high_noise,calibrated_deadline_guard,fragile,280,0.732143,0.051871,0.707143,0.267857,0.051871,0.267857,0.051871,0.007143,0.009864,0.260714,0.051424,0.071429,0.593159,1.131769,1.803799,4.128761
high_noise,calibrated_deadline_guard,nominal,280,0.939286,0.027972,0.9,0.053571,0.026375,0.0,0.0,0.060714,0.027972,0.0,0.0,0.0,0.204634,0.118977,0.242881,0.043715
high_noise,calibrated_deadline_guard,occluded_rim,280,0.471429,0.058471,0.467857,0.528571,0.058471,0.528571,0.058471,0.132143,0.039666,0.396429,0.057296,0.064286,0.808425,1.863374,1.586359,4.173449
high_noise,calibrated_deadline_guard,slippery,280,0.635714,0.056368,0.614286,0.364286,0.056368,0.364286,0.056368,0.028571,0.019514,0.332143,0.055167,0.046429,0.585194,1.008192,1.444101,2.665948
high_noise,calibrated_deadline_guard,thin_lip,280,0.675,0.054862,0.667857,0.325,0.054862,0.325,0.054862,0.014286,0.0139,0.310714,0.054207,0.071429,0.571213,1.010854,1.505938,3.022226
high_noise,contact_reactive,compliant_skin,280,0.142857,0.040988,0.221429,0.857143,0.040988,0.857143,0.040988,0.0,0.0,0.857143,0.040988,0.0,1.25851,3.140817,1.653677,3.697657
