policy,n,safe_success_mean,safe_success_ci95,final_success_mean,harmful_contact_mean,harmful_contact_ci95,late_switch_mean,late_switch_ci95,early_false_switch_mean,early_false_switch_ci95,deadline_violation_mean,deadline_violation_ci95,avoidable_lateness_mean,impulse_mean,expected_cost_mean,impulse_p90,expected_cost_p90
calibrated_deadline_guard,5400,0.849259,0.009543,0.822593,0.15,0.009524,0.136481,0.009157,0.039074,0.005168,0.111667,0.008401,0.027778,0.358449,1.332965,1.361285,3.563509
oracle_precontact,5400,1.0,0.0,0.967037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175646,0.031616,0.224203,0.04036
posterior_cost_tuned,5400,0.818519,0.01028,0.793889,0.179074,0.010227,0.152778,0.009596,0.076667,0.007096,0.110185,0.008352,0.032593,0.383702,1.6154,1.361095,4.713303
posterior_fixed,5400,0.832407,0.009962,0.804815,0.166852,0.009945,0.159815,0.009774,0.019815,0.003717,0.151852,0.009572,0.069259,0.392448,1.550192,1.471447,4.67128
risk_guard,5400,0.74537,0.01162,0.727593,0.249815,0.011547,0.192778,0.010522,0.190185,0.010467,0.064444,0.006549,0.003148,0.427173,2.215604,1.221244,7.768465
v2_guard,5400,0.801667,0.010635,0.778889,0.198333,0.010635,0.190741,0.010479,0.019815,0.003717,0.178519,0.010214,0.09963,0.432003,1.812876,1.492421,5.923741
