family,case_id,policy,mode,condition,velocity,switch_latency,switch_distance,false_cost,harm_scale,special,required_strategy,active_strategy_at_contact,predicted_mode,switch_target,switch_started_distance,deadline_margin,posterior_confidence,posterior_margin,safe_success,final_success,harmful_contact,late_switch,early_false_switch,deadline_violation,avoidable_lateness,impulse,expected_cost,switch_reason
family_b,300000,posterior_fixed,nominal,normal,0.1,0.06,0.006,0.25,0.5,none,pinch,cage,slippery,cage,0.03,0.024,0.92035,0.8433,0,0,1,0,1,0,0,0.72292,0.58013,posterior_0.90_0.24
family_b,300000,posterior_cost_tuned,nominal,normal,0.1,0.06,0.006,0.25,0.5,none,pinch,cage,slippery,cage,0.03,0.024,0.92035,0.8433,0,0,1,0,1,0,0,0.68246,0.57284,cost_posterior_0.70_0.19
family_b,300000,v2_guard,nominal,normal,0.1,0.06,0.006,0.25,0.5,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.12594,0.02267,none
family_b,300000,risk_guard,nominal,normal,0.1,0.06,0.006,0.25,0.5,none,pinch,soft,fragile,soft,0.042,0.036,0.37247,0.09128,0,0,0,0,1,0,0,0.63606,0.36449,risk_1.21_0.19
family_b,300000,calibrated_deadline_guard,nominal,normal,0.1,0.06,0.006,0.25,0.5,none,pinch,cage,slippery,cage,0.03,0.024,0.86489,0.74032,0,0,0,0,1,0,0,0.57135,0.35284,calibrated_deadline_guard
family_b,300000,oracle_precontact,nominal,normal,0.1,0.06,0.006,0.25,0.5,none,pinch,pinch,nominal,pinch,0.078,0.072,1.0,1.0,1,1,0,0,0,0,0,0.14096,0.02537,oracle
family_b,300001,posterior_fixed,thin_lip,normal,0.1,0.06,0.006,0.25,0.5,none,scoop,scoop,thin_lip,scoop,0.027,0.021,0.99788,0.99576,1,1,0,0,0,0,0,0.10977,0.01976,posterior_0.90_0.24
family_b,300001,posterior_cost_tuned,thin_lip,normal,0.1,0.06,0.006,0.25,0.5,none,scoop,scoop,thin_lip,scoop,0.033,0.027,0.80686,0.6457,1,1,0,0,0,0,0,0.12134,0.02184,cost_posterior_0.70_0.19
family_b,300001,v2_guard,thin_lip,normal,0.1,0.06,0.006,0.25,0.5,none,scoop,scoop,thin_lip,scoop,0.024,0.018,0.99802,0.99605,1,1,0,0,0,0,0,0.18555,0.0334,v2_guard
family_b,300001,risk_guard,thin_lip,normal,0.1,0.06,0.006,0.25,0.5,none,scoop,scoop,thin_lip,scoop,0.036,0.03,0.62704,0.41048,1,1,0,0,0,0,0,0.1692,0.03046,risk_0.90_0.25
family_b,300001,calibrated_deadline_guard,thin_lip,normal,0.1,0.06,0.006,0.25,0.5,none,scoop,scoop,thin_lip,scoop,0.027,0.021,0.99185,0.98376,1,1,0,0,0,0,0,0.14602,0.02628,calibrated_deadline_guard
family_b,300001,oracle_precontact,thin_lip,normal,0.1,0.06,0.006,0.25,0.5,none,scoop,scoop,thin_lip,scoop,0.078,0.072,1.0,1.0,1,1,0,0,0,0,0,0.15234,0.02742,oracle
family_b,300002,posterior_fixed,slippery,normal,0.1,0.06,0.006,0.25,0.5,none,cage,cage,slippery,cage,0.033,0.027,0.93715,0.90002,1,1,0,0,0,0,0,0.12025,0.02165,posterior_0.90_0.24
family_b,300002,posterior_cost_tuned,slippery,normal,0.1,0.06,0.006,0.25,0.5,none,cage,cage,slippery,cage,0.036,0.03,0.80291,0.70627,1,1,0,0,0,0,0,0.12605,0.02269,cost_posterior_0.70_0.19
family_b,300002,v2_guard,slippery,normal,0.1,0.06,0.006,0.25,0.5,none,cage,cage,slippery,cage,0.033,0.027,0.93715,0.90002,1,1,0,0,0,0,0,0.13468,0.02424,v2_guard
family_b,300002,risk_guard,slippery,normal,0.1,0.06,0.006,0.25,0.5,none,cage,cage,slippery,cage,0.036,0.03,0.80291,0.70627,1,1,0,0,0,0,0,0.15337,0.02761,risk_0.99_0.11
family_b,300002,calibrated_deadline_guard,slippery,normal,0.1,0.06,0.006,0.25,0.5,none,cage,cage,slippery,cage,0.033,0.027,0.8703,0.80043,1,1,0,0,0,0,0,0.18522,0.03334,calibrated_deadline_guard
family_b,300002,oracle_precontact,slippery,normal,0.1,0.06,0.006,0.25,0.5,none,cage,cage,slippery,cage,0.078,0.072,1.0,1.0,1,1,0,0,0,0,0,0.18523,0.03334,oracle
family_b,300003,posterior_fixed,fragile,normal,0.1,0.06,0.006,0.25,0.5,none,soft,soft,fragile,soft,0.027,0.021,0.973,0.95136,1,1,0,0,0,0,0,0.15458,0.02782,posterior_0.90_0.24
family_b,300003,posterior_cost_tuned,fragile,normal,0.1,0.06,0.006,0.25,0.5,none,soft,soft,fragile,soft,0.03,0.024,0.875,0.79402,1,1,0,0,0,0,0,0.15501,0.0279,cost_posterior_0.70_0.19
