condition,conf,margin,score
normal,0.84,0.04,0.715
early_cue,0.84,0.04,0.8279166666666667
weak_cue,0.54,0.34,0.3456944444444444
late_cue,0.74,0.04,0.30333333333333334
high_noise,0.74,0.04,0.5816666666666667
uninformative_until_contact,0.54,0.04,0.27166666666666667
