family,case_id,policy,mode,condition,velocity,switch_latency,switch_distance,false_cost,harm_scale,special,required_strategy,active_strategy_at_contact,predicted_mode,switch_target,switch_started_distance,deadline_margin,posterior_confidence,posterior_margin,safe_success,final_success,harmful_contact,late_switch,early_false_switch,deadline_violation,avoidable_lateness,impulse,expected_cost,switch_reason
family_a,1,fixed_nominal,nominal,normal,0.06,0.0,0.0,1.0,1.0,none,pinch,pinch,nominal,pinch,,,0.16667,0.0,1,1,0,0,0,0,0,0.13053,0.02349,none
family_a,1,contact_reactive,nominal,normal,0.06,0.0,0.0,1.0,1.0,none,pinch,pinch,nominal,pinch,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0.15277,0.0275,contact
family_a,1,posterior_fixed,nominal,normal,0.06,0.0,0.0,1.0,1.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.13894,0.02501,none
family_a,1,posterior_tuned,nominal,normal,0.06,0.0,0.0,1.0,1.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.19372,0.03487,none
family_a,1,v2_guard,nominal,normal,0.06,0.0,0.0,1.0,1.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.1227,0.02209,none
family_a,1,deadline_threshold,nominal,normal,0.06,0.0,0.0,1.0,1.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.10878,0.01958,none
family_a,1,risk_guard,nominal,normal,0.06,0.0,0.0,1.0,1.0,none,pinch,scoop,thin_lip,scoop,0.039,0.039,0.74625,0.65135,0,0,0,0,1,0,0,0.58469,1.10524,risk_1.98_0.42
family_a,1,calibrated_deadline_guard,nominal,normal,0.06,0.0,0.0,1.0,1.0,none,pinch,pinch,nominal,pinch,,,1.0,1.0,1,1,0,0,0,0,0,0.12293,0.02213,none
family_a,1,oracle_precontact,nominal,normal,0.06,0.0,0.0,1.0,1.0,none,pinch,pinch,nominal,pinch,0.078,0.078,1.0,1.0,1,1,0,0,0,0,0,0.12013,0.02162,oracle
family_a,2,fixed_nominal,thin_lip,normal,0.06,0.0,0.0,1.0,1.0,none,scoop,pinch,nominal,pinch,,,0.16667,0.0,0,0,1,1,0,0,0,1.07066,2.94272,none
family_a,2,contact_reactive,thin_lip,normal,0.06,0.0,0.0,1.0,1.0,none,scoop,scoop,thin_lip,scoop,0.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0.07156,0.01288,contact
family_a,2,posterior_fixed,thin_lip,normal,0.06,0.0,0.0,1.0,1.0,none,scoop,scoop,thin_lip,scoop,0.036,0.036,0.99108,0.98528,1,1,0,0,0,0,0,0.11698,0.02106,posterior_0.90_0.24
family_a,2,posterior_tuned,thin_lip,normal,0.06,0.0,0.0,1.0,1.0,none,scoop,scoop,thin_lip,scoop,0.039,0.039,0.87476,0.79658,1,1,0,0,0,0,0,0.13332,0.024,posterior_0.84_0.04
family_a,2,v2_guard,thin_lip,normal,0.06,0.0,0.0,1.0,1.0,none,scoop,scoop,thin_lip,scoop,0.036,0.036,0.99108,0.98528,1,1,0,0,0,0,0,0.10376,0.01868,v2_guard
family_a,2,deadline_threshold,thin_lip,normal,0.06,0.0,0.0,1.0,1.0,none,scoop,scoop,thin_lip,scoop,0.039,0.039,0.87476,0.78478,1,1,0,0,0,0,0,0.14781,0.02661,deadline_threshold
family_a,2,risk_guard,thin_lip,normal,0.06,0.0,0.0,1.0,1.0,none,scoop,scoop,thin_lip,scoop,0.039,0.039,0.87476,0.79658,1,1,0,0,0,0,0,0.13537,0.02437,risk_2.32_0.26
family_a,2,calibrated_deadline_guard,thin_lip,normal,0.06,0.0,0.0,1.0,1.0,none,scoop,scoop,thin_lip,scoop,0.036,0.036,0.96892,0.95148,1,1,0,0,0,0,0,0.08728,0.01571,calibrated_deadline_guard
family_a,2,oracle_precontact,thin_lip,normal,0.06,0.0,0.0,1.0,1.0,none,scoop,scoop,thin_lip,scoop,0.078,0.078,1.0,1.0,1,1,0,0,0,0,0,0.1265,0.02277,oracle
family_a,3,fixed_nominal,slippery,normal,0.06,0.0,0.0,1.0,1.0,none,cage,pinch,nominal,pinch,,,0.16667,0.0,0,0,1,1,0,0,0,0.84362,2.55185,none
family_a,3,contact_reactive,slippery,normal,0.06,0.0,0.0,1.0,1.0,none,cage,cage,slippery,cage,0.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0.11033,0.01986,contact
family_a,3,posterior_fixed,slippery,normal,0.06,0.0,0.0,1.0,1.0,none,cage,cage,slippery,cage,0.03,0.03,0.95507,0.91215,1,1,0,0,0,0,0,0.1569,0.02824,posterior_0.90_0.24
family_a,3,posterior_tuned,slippery,normal,0.06,0.0,0.0,1.0,1.0,none,cage,cage,slippery,cage,0.033,0.033,0.88475,0.7978,1,1,0,0,0,0,0,0.10381,0.01869,posterior_0.84_0.04
family_a,3,v2_guard,slippery,normal,0.06,0.0,0.0,1.0,1.0,none,cage,cage,slippery,cage,0.03,0.03,0.95507,0.91215,1,1,0,0,0,0,0,0.12092,0.02177,v2_guard
family_a,3,deadline_threshold,slippery,normal,0.06,0.0,0.0,1.0,1.0,none,cage,cage,slippery,cage,0.033,0.033,0.88475,0.7978,1,1,0,0,0,0,0,0.11005,0.01981,deadline_threshold
family_a,3,risk_guard,slippery,normal,0.06,0.0,0.0,1.0,1.0,none,cage,cage,slippery,cage,0.039,0.039,0.64507,0.45005,1,1,0,0,0,0,0,0.0937,0.01687,risk_1.46_0.54
family_a,3,calibrated_deadline_guard,slippery,normal,0.06,0.0,0.0,1.0,1.0,none,cage,cage,slippery,cage,0.03,0.03,0.91102,0.83031,1,1,0,0,0,0,0,0.13002,0.0234,calibrated_deadline_guard
family_a,3,oracle_precontact,slippery,normal,0.06,0.0,0.0,1.0,1.0,none,cage,cage,slippery,cage,0.078,0.078,1.0,1.0,1,1,0,0,0,0,0,0.13897,0.02502,oracle
family_a,4,fixed_nominal,fragile,normal,0.06,0.0,0.0,1.0,1.0,none,soft,pinch,nominal,pinch,,,0.16667,0.0,0,0,1,1,0,0,0,1.28029,4.03045,none
family_a,4,contact_reactive,fragile,normal,0.06,0.0,0.0,1.0,1.0,none,soft,soft,fragile,soft,0.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0.10779,0.0194,contact
family_a,4,posterior_fixed,fragile,normal,0.06,0.0,0.0,1.0,1.0,none,soft,soft,compliant_skin,soft,0.033,0.033,0.91803,0.87388,1,1,0,0,0,0,0,0.13385,0.02409,posterior_0.90_0.24
family_a,4,posterior_tuned,fragile,normal,0.06,0.0,0.0,1.0,1.0,none,soft,soft,compliant_skin,soft,0.033,0.033,0.91803,0.87388,1,1,0,0,0,0,0,0.10142,0.01826,posterior_0.84_0.04
family_a,4,v2_guard,fragile,normal,0.06,0.0,0.0,1.0,1.0,none,soft,soft,compliant_skin,soft,0.03,0.03,0.88547,0.82145,1,1,0,0,0,0,0,0.11421,0.02056,v2_guard
family_a,4,deadline_threshold,fragile,normal,0.06,0.0,0.0,1.0,1.0,none,soft,soft,compliant_skin,soft,0.033,0.033,0.95031,0.90616,1,1,0,0,0,0,0,0.1626,0.02927,deadline_threshold
family_a,4,risk_guard,fragile,normal,0.06,0.0,0.0,1.0,1.0,none,soft,soft,compliant_skin,soft,0.036,0.036,0.78917,0.69518,1,1,0,0,0,0,0,0.14217,0.02559,risk_2.87_0.30
family_a,4,calibrated_deadline_guard,fragile,normal,0.06,0.0,0.0,1.0,1.0,none,soft,soft,compliant_skin,soft,0.033,0.033,0.90374,0.82508,1,1,0,0,0,0,0,0.09732,0.01752,calibrated_deadline_guard
family_a,4,oracle_precontact,fragile,normal,0.06,0.0,0.0,1.0,1.0,none,soft,soft,fragile,soft,0.078,0.078,1.0,1.0,1,1,0,0,0,0,0,0.14758,0.02656,oracle
family_a,5,fixed_nominal,occluded_rim,normal,0.06,0.0,0.0,1.0,1.0,none,tilt,pinch,nominal,pinch,,,0.16667,0.0,0,0,1,1,0,0,0,1.04772,3.18859,none
family_a,5,contact_reactive,occluded_rim,normal,0.06,0.0,0.0,1.0,1.0,none,tilt,tilt,occluded_rim,tilt,0.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0.077,0.01386,contact
family_a,5,posterior_fixed,occluded_rim,normal,0.06,0.0,0.0,1.0,1.0,none,tilt,tilt,occluded_rim,tilt,0.021,0.021,0.93914,0.8789,1,0,0,0,0,0,0,0.10484,0.01887,posterior_0.90_0.24
family_a,5,posterior_tuned,occluded_rim,normal,0.06,0.0,0.0,1.0,1.0,none,tilt,tilt,occluded_rim,tilt,0.021,0.021,0.93914,0.8789,1,1,0,0,0,0,0,0.13078,0.02354,posterior_0.84_0.04
family_a,5,v2_guard,occluded_rim,normal,0.06,0.0,0.0,1.0,1.0,none,tilt,tilt,occluded_rim,tilt,0.018,0.018,0.99991,0.99983,1,1,0,0,0,0,0,0.13267,0.02388,v2_guard
family_a,5,deadline_threshold,occluded_rim,normal,0.06,0.0,0.0,1.0,1.0,none,tilt,tilt,occluded_rim,tilt,0.021,0.021,0.93914,0.8789,1,1,0,0,0,0,0,0.14758,0.02656,deadline_threshold
family_a,5,risk_guard,occluded_rim,normal,0.06,0.0,0.0,1.0,1.0,none,tilt,tilt,occluded_rim,tilt,0.027,0.027,0.70365,0.4588,1,1,0,0,0,0,0,0.12607,0.02269,risk_2.33_0.38
