condition,policy,n,safe_success_mean,safe_success_ci95,final_success_mean,harmful_contact_mean,harmful_contact_ci95,late_switch_mean,late_switch_ci95,early_false_switch_mean,early_false_switch_ci95,deadline_violation_mean,deadline_violation_ci95,avoidable_lateness_mean,impulse_mean,expected_cost_mean,impulse_p90,expected_cost_p90
high_noise,calibrated_deadline_guard,960,0.555208,0.031436,0.539583,0.441667,0.031413,0.435417,0.031364,0.030208,0.010827,0.414583,0.031164,0.066667,0.764977,2.661863,1.666055,6.763177
high_noise,deadline_threshold,960,0.576042,0.031261,0.557292,0.421875,0.031241,0.411458,0.031129,0.038542,0.012177,0.385417,0.030788,0.066667,0.735365,2.531272,1.66114,6.759956
high_noise,distance_only,960,0.561458,0.03139,0.555208,0.436458,0.031373,0.321875,0.029554,0.433333,0.031347,0.005208,0.004553,0.0125,0.588333,2.402931,1.268454,6.878787
high_noise,posterior_fixed,960,0.5,0.031629,0.488542,0.5,0.031629,0.496875,0.031629,0.011458,0.006733,0.504167,0.031628,0.1625,0.847045,3.058249,1.68645,6.779089
high_noise,risk_guard,960,0.545833,0.031496,0.534375,0.45,0.031471,0.410417,0.031118,0.161458,0.023276,0.292708,0.028783,0.002083,0.726425,2.664194,1.650361,6.858168
high_noise,risk_no_cost,960,0.545833,0.031496,0.55,0.448958,0.031464,0.410417,0.031118,0.161458,0.023276,0.292708,0.028783,0.002083,0.72455,2.663023,1.653672,6.855839
high_noise,risk_no_deadline,960,0.557292,0.031421,0.548958,0.4375,0.031381,0.397917,0.030963,0.167708,0.023634,0.321875,0.029554,0.002083,0.708829,2.596131,1.641104,6.852254
high_noise,risk_no_margin,960,0.544792,0.031502,0.532292,0.447917,0.031457,0.409375,0.031105,0.165625,0.023516,0.289583,0.028692,0.0,0.726018,2.659069,1.649134,6.853117
late_cue,calibrated_deadline_guard,960,0.259375,0.027726,0.25625,0.740625,0.027726,0.740625,0.027726,0.005208,0.004553,0.735417,0.027904,0.023958,1.137258,4.493717,1.701598,7.54397
late_cue,deadline_threshold,960,0.2625,0.027833,0.257292,0.7375,0.027833,0.7375,0.027833,0.00625,0.004985,0.73125,0.028043,0.034375,1.13477,4.477071,1.708321,7.542295
late_cue,distance_only,960,0.340625,0.02998,0.359375,0.64375,0.030294,0.49375,0.031627,0.659375,0.02998,0.0,0.0,0.0,0.744246,3.435527,1.225812,6.852778
late_cue,posterior_fixed,960,0.235417,0.026838,0.239583,0.764583,0.026838,0.764583,0.026838,0.0,0.0,0.766667,0.026755,0.064583,1.169564,4.655938,1.704942,7.544663
late_cue,risk_guard,960,0.2875,0.028631,0.280208,0.710417,0.028692,0.704167,0.028872,0.026042,0.010075,0.686458,0.029348,0.001042,1.096114,4.295009,1.69405,7.540201
late_cue,risk_no_cost,960,0.2875,0.028631,0.285417,0.7125,0.028631,0.704167,0.028872,0.026042,0.010075,0.686458,0.029348,0.001042,1.098337,4.297076,1.708267,7.541912
late_cue,risk_no_deadline,960,0.301042,0.029017,0.298958,0.697917,0.029046,0.689583,0.029268,0.029167,0.010645,0.720833,0.028377,0.0,1.08018,4.206412,1.701403,7.539168
late_cue,risk_no_margin,960,0.285417,0.028568,0.290625,0.710417,0.028692,0.704167,0.028872,0.030208,0.010827,0.684375,0.0294,0.0,1.09851,4.29794,1.70945,7.539437
normal,calibrated_deadline_guard,960,0.715625,0.028537,0.689583,0.283333,0.028505,0.277083,0.028312,0.029167,0.010645,0.255208,0.027579,0.026042,0.562335,1.715804,1.62364,6.727251
normal,deadline_threshold,960,0.704167,0.028872,0.685417,0.294792,0.028843,0.282292,0.028474,0.051042,0.013922,0.244792,0.027199,0.026042,0.567586,1.765447,1.622941,6.733007
normal,distance_only,960,0.685417,0.029374,0.672917,0.313542,0.029348,0.232292,0.026714,0.314583,0.029374,0.0,0.0,0.00625,0.47713,1.730102,1.230992,6.864035
normal,posterior_fixed,960,0.696875,0.029074,0.669792,0.303125,0.029074,0.297917,0.028931,0.016667,0.008098,0.297917,0.028931,0.064583,0.59534,1.855807,1.657036,6.737471
normal,risk_guard,960,0.626042,0.030608,0.614583,0.369792,0.030538,0.313542,0.029348,0.169792,0.02375,0.204167,0.025499,0.0,0.609218,2.078565,1.611453,6.812366
normal,risk_no_cost,960,0.626042,0.030608,0.621875,0.365625,0.030466,0.313542,0.029348,0.169792,0.02375,0.204167,0.025499,0.0,0.60695,2.074824,1.60964,6.82013
normal,risk_no_deadline,960,0.632292,0.030502,0.61875,0.360417,0.030372,0.307292,0.029186,0.170833,0.023808,0.223958,0.026372,0.0,0.60159,2.040109,1.602072,6.820441
normal,risk_no_margin,960,0.61875,0.030724,0.604167,0.375,0.030625,0.31875,0.029478,0.177083,0.024148,0.204167,0.025499,0.0,0.614253,2.11442,1.595305,6.827052
weak_cue,calibrated_deadline_guard,960,0.320833,0.029529,0.322917,0.678125,0.029554,0.670833,0.029726,0.017708,0.008343,0.661458,0.029935,0.064583,1.053468,4.049937,1.692043,7.534005
weak_cue,deadline_threshold,960,0.333333,0.02982,0.332292,0.666667,0.02982,0.655208,0.030067,0.028125,0.010459,0.638542,0.030391,0.071875,1.037342,3.978232,1.699204,7.530897
weak_cue,distance_only,960,0.378125,0.030675,0.376042,0.614583,0.030788,0.467708,0.031563,0.615625,0.030772,0.00625,0.004985,0.003125,0.743945,3.407504,1.270723,6.887763
weak_cue,posterior_fixed,960,0.252083,0.027467,0.255208,0.746875,0.027505,0.74375,0.027616,0.005208,0.004553,0.7625,0.02692,0.1625,1.147832,4.541297,1.702936,7.543736
weak_cue,risk_guard,960,0.370833,0.030556,0.360417,0.627083,0.030591,0.598958,0.031004,0.097917,0.018801,0.53125,0.031568,0.0,0.965237,3.707337,1.698534,7.505439
weak_cue,risk_no_cost,960,0.370833,0.030556,0.358333,0.621875,0.030675,0.598958,0.031004,0.097917,0.018801,0.53125,0.031568,0.0,0.962438,3.702666,1.689709,7.496775
weak_cue,risk_no_deadline,960,0.378125,0.030675,0.38125,0.614583,0.030788,0.591667,0.031093,0.104167,0.019324,0.588542,0.031129,0.0,0.950852,3.666154,1.69558,7.501105
weak_cue,risk_no_margin,960,0.370833,0.030556,0.367708,0.622917,0.030659,0.597917,0.031017,0.1,0.018978,0.529167,0.031576,0.0,0.962637,3.699733,1.6861,7.492334
