condition,policy,switch_latency,episodes,safe_success_rate,final_success_rate,harmful_contact_rate,late_switch_rate,early_false_switch_rate,mean_impulse,p90_impulse,mean_regret
weak_cue,guard_contract,0.12,360,0.42778,0.43056,0.57222,0.56667,0.00556,0.96987,1.74896,0.79036
weak_cue,oracle_precontact,0.0,360,1,0.94722,0,0,0,0.18172,0.21741,0.00731
weak_cue,oracle_precontact,0.03,360,1,0.95833,0,0,0,0.18353,0.22293,0.00833
weak_cue,oracle_precontact,0.06,360,1,0.97778,0,0,0,0.18115,0.2228,0.00688
weak_cue,oracle_precontact,0.09,360,1,0.95833,0,0,0,0.18271,0.22339,0.0082
weak_cue,oracle_precontact,0.12,360,1,0.94722,0,0,0,0.18362,0.22637,0.00835
weak_cue,posterior_only,0.0,360,0.96944,0.91111,0.03056,0.01111,0.03056,0.20757,0.22685,0.03217
weak_cue,posterior_only,0.03,360,0.94167,0.90833,0.05833,0.03611,0.02222,0.24329,0.23365,0.06774
weak_cue,posterior_only,0.06,360,0.75833,0.72778,0.24167,0.23333,0.01667,0.4929,1.49523,0.31616
weak_cue,posterior_only,0.09,360,0.51667,0.51111,0.48333,0.48889,0.01111,0.83916,1.71056,0.65989
weak_cue,posterior_only,0.12,360,0.44167,0.44722,0.55833,0.57778,0.01389,0.96224,1.80292,0.78326
