policy,class,condition,velocity,switch_latency,switch_distance,required_strategy,active_strategy_at_contact,predicted_class,switch_started_distance,posterior_confidence,posterior_margin,impulse,harmful_contact,safe_success,final_success,late_switch,early_false_switch,regret
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.28085,1,0,0,1,0,1.12585
fixed_nominal,fragile,normal,0.1,0.0,0.0,soft,pinch,nominal,,0.25,0.0,1.52493,1,0,0,1,0,1.36993
fixed_nominal,slippery,normal,0.1,0.0,0.0,cage,pinch,nominal,,0.25,0.0,1.01576,1,0,1,1,0,0.86076
fixed_nominal,fragile,normal,0.1,0.0,0.0,soft,pinch,nominal,,0.25,0.0,1.37211,1,0,0,1,0,1.21711
fixed_nominal,fragile,normal,0.1,0.0,0.0,soft,pinch,nominal,,0.25,0.0,1.44106,1,0,0,1,0,1.28606
fixed_nominal,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,0.25,0.0,0.12358,0,1,1,0,0,0.0
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.33466,1,0,0,1,0,1.17966
fixed_nominal,slippery,normal,0.1,0.0,0.0,cage,pinch,nominal,,0.25,0.0,0.99805,1,0,0,1,0,0.84305
fixed_nominal,fragile,normal,0.1,0.0,0.0,soft,pinch,nominal,,0.25,0.0,1.40719,1,0,0,1,0,1.25219
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.16022,1,0,0,1,0,1.00522
fixed_nominal,fragile,normal,0.1,0.0,0.0,soft,pinch,nominal,,0.25,0.0,1.39996,1,0,0,1,0,1.24496
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.09804,1,0,0,1,0,0.94304
fixed_nominal,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,0.25,0.0,0.13771,0,1,1,0,0,0.0
fixed_nominal,fragile,normal,0.1,0.0,0.0,soft,pinch,nominal,,0.25,0.0,1.47109,1,0,0,1,0,1.31609
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.19155,1,0,0,1,0,1.03655
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.17907,1,0,0,1,0,1.02407
fixed_nominal,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,0.25,0.0,0.17472,0,1,1,0,0,0.01972
fixed_nominal,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,0.25,0.0,0.172,0,1,1,0,0,0.017
fixed_nominal,fragile,normal,0.1,0.0,0.0,soft,pinch,nominal,,0.25,0.0,1.28082,1,0,0,1,0,1.12582
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.16629,1,0,1,1,0,1.01129
fixed_nominal,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,0.25,0.0,0.1818,0,1,1,0,0,0.0268
fixed_nominal,slippery,normal,0.1,0.0,0.0,cage,pinch,nominal,,0.25,0.0,0.98275,1,0,0,1,0,0.82775
fixed_nominal,slippery,normal,0.1,0.0,0.0,cage,pinch,nominal,,0.25,0.0,1.02124,1,0,1,1,0,0.86624
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.16888,1,0,1,1,0,1.01388
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.16613,1,0,0,1,0,1.01113
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.1087,1,0,1,1,0,0.9537
fixed_nominal,slippery,normal,0.1,0.0,0.0,cage,pinch,nominal,,0.25,0.0,1.0752,1,0,0,1,0,0.9202
fixed_nominal,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,0.25,0.0,0.15461,0,1,1,0,0,0.0
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.07698,1,0,0,1,0,0.92198
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.15327,1,0,0,1,0,0.99827
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.20245,1,0,0,1,0,1.04745
fixed_nominal,fragile,normal,0.1,0.0,0.0,soft,pinch,nominal,,0.25,0.0,1.36812,1,0,1,1,0,1.21312
fixed_nominal,fragile,normal,0.1,0.0,0.0,soft,pinch,nominal,,0.25,0.0,1.32236,1,0,0,1,0,1.16736
fixed_nominal,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,0.25,0.0,0.17352,0,1,1,0,0,0.01852
fixed_nominal,thin_lip,normal,0.1,0.0,0.0,scoop,pinch,nominal,,0.25,0.0,1.21917,1,0,0,1,0,1.06417
fixed_nominal,slippery,normal,0.1,0.0,0.0,cage,pinch,nominal,,0.25,0.0,1.11999,1,0,1,1,0,0.96499
fixed_nominal,fragile,normal,0.1,0.0,0.0,soft,pinch,nominal,,0.25,0.0,1.46576,1,0,0,1,0,1.31076
fixed_nominal,fragile,normal,0.1,0.0,0.0,soft,pinch,nominal,,0.25,0.0,1.32254,1,0,0,1,0,1.16754
fixed_nominal,slippery,normal,0.1,0.0,0.0,cage,pinch,nominal,,0.25,0.0,0.96649,1,0,1,1,0,0.81149
fixed_nominal,fragile,normal,0.1,0.0,0.0,soft,pinch,nominal,,0.25,0.0,1.36846,1,0,0,1,0,1.21346
