policy,class,condition,velocity,switch_latency,switch_distance,required_strategy,active_strategy_at_contact,predicted_class,switch_started_distance,posterior_confidence,posterior_margin,impulse,harmful_contact,safe_success,final_success,late_switch,early_false_switch,regret,posterior_conf_threshold,posterior_margin_threshold
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.14188,0,1,1,0,0,0.0,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.10853,0,1,1,0,0,0.0,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.038,0.8964,0.8051,0.14311,0,1,1,0,0,0.0,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.14538,0,1,1,0,0,0.0,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.038,0.8501,0.7142,0.13421,0,1,1,0,0,0.0,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.15423,0,1,1,0,0,0.0,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.032,0.9992,0.9985,0.15328,0,1,1,0,0,0.0,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,cage,slippery,0.03,0.8803,0.7605,0.78952,1,0,0,0,1,0.63452,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,cage,slippery,0.03,0.8456,0.6977,0.82984,1,0,0,0,1,0.67484,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.038,0.839,0.722,0.15938,0,1,1,0,0,0.00438,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.034,0.8857,0.7731,0.14403,0,1,1,0,0,0.0,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.0,0.0,scoop,scoop,thin_lip,0.044,0.8341,0.7662,0.1209,0,1,1,0,0,0.0,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,scoop,thin_lip,0.04,0.8221,0.7244,0.95637,1,0,1,1,1,0.80137,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.036,0.9394,0.8943,0.17946,0,1,1,0,0,0.02446,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,cage,slippery,0.036,0.8235,0.6655,0.78311,1,0,0,0,1,0.62811,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.15184,0,1,1,0,0,0.0,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.032,0.9311,0.8623,0.12204,0,1,1,0,0,0.0,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.032,0.985,0.974,0.15134,0,1,1,0,0,0.0,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.12367,0,1,1,0,0,0.0,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.034,0.9218,0.8437,0.14483,0,1,1,0,0,0.0,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.034,0.8938,0.7928,0.18336,0,1,1,0,0,0.02836,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.0,0.0,scoop,scoop,thin_lip,0.042,0.8367,0.7625,0.18031,0,1,1,0,0,0.02531,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.16181,0,1,1,0,0,0.00681,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.0,0.0,scoop,scoop,thin_lip,0.038,0.9443,0.9153,0.15445,0,1,1,0,0,0.0,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.13961,0,1,1,0,0,0.0,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.034,0.8922,0.8048,0.14742,0,1,1,0,0,0.0,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.04,0.9525,0.9203,0.14178,0,1,1,0,0,0.0,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.036,0.9429,0.9088,0.16512,0,1,1,0,0,0.01012,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.1748,0,1,1,0,0,0.0198,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.038,0.9106,0.8492,0.14801,0,1,1,0,0,0.0,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.0,0.0,scoop,scoop,thin_lip,0.042,0.9272,0.8984,0.12491,0,1,1,0,0,0.0,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.028,0.9786,0.9572,0.15452,0,1,1,0,0,0.0,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,scoop,thin_lip,0.038,0.8459,0.7307,0.96913,1,0,0,0,1,0.81413,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.0,0.0,scoop,scoop,thin_lip,0.04,0.9968,0.9956,0.19379,0,1,1,0,0,0.03879,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.18142,0,1,1,0,0,0.02642,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.036,0.8899,0.8273,0.16933,0,1,1,0,0,0.01433,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.17027,0,1,1,0,0,0.01527,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.036,0.849,0.713,0.11762,0,1,1,0,0,0.0,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.0,0.0,scoop,scoop,thin_lip,0.042,0.8749,0.8236,0.17423,0,1,1,0,0,0.01923,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.038,0.96,0.934,0.17558,0,1,1,0,0,0.02058,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.036,0.9333,0.8885,0.13767,0,1,1,0,0,0.0,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.18712,0,1,1,0,0,0.03212,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.034,0.9255,0.8539,0.13663,0,1,1,0,0,0.0,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.032,0.9851,0.971,0.1654,0,1,1,0,0,0.0104,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.032,0.98,0.9664,0.12648,0,1,1,0,0,0.0,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,scoop,thin_lip,0.044,0.8521,0.7994,1.30402,1,0,0,1,1,1.14902,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.034,0.9529,0.909,0.16458,0,1,1,0,0,0.00958,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.032,0.946,0.8921,0.16182,0,1,0,0,0,0.00682,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.032,0.9619,0.9409,0.17024,0,1,1,0,0,0.01524,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.03,0.9211,0.8424,0.17459,0,1,1,0,0,0.01959,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.03,0.925,0.85,0.2011,0,1,1,0,0,0.0461,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,cage,slippery,0.038,0.8682,0.7433,0.73438,1,0,1,0,1,0.57938,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.04,0.8813,0.8232,0.17163,0,1,1,0,0,0.01663,0.82,0.16
posterior_only,slippery,normal,0.1,0.0,0.0,cage,cage,slippery,0.034,0.9936,0.9875,0.13674,0,1,1,0,0,0.0,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.0,0.0,scoop,scoop,thin_lip,0.034,0.9585,0.9275,0.17214,0,1,1,0,0,0.01714,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.0,0.0,scoop,scoop,thin_lip,0.04,0.9646,0.942,0.14491,0,1,1,0,0,0.0,0.82,0.16
posterior_only,fragile,normal,0.1,0.0,0.0,soft,soft,fragile,0.034,0.8593,0.7539,0.18883,0,1,1,0,0,0.03383,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.15527,0,1,1,0,0,0.00027,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.0,0.0,scoop,scoop,thin_lip,0.038,0.938,0.9011,0.1681,0,1,1,0,0,0.0131,0.82,0.16
posterior_only,nominal,normal,0.1,0.0,0.0,pinch,pinch,nominal,,1.0,1.0,0.17906,0,1,1,0,0,0.02406,0.82,0.16
posterior_only,nominal,normal,0.1,0.03,0.003,pinch,pinch,nominal,,1.0,1.0,0.12558,0,1,1,0,0,0.0,0.82,0.16
posterior_only,nominal,normal,0.1,0.03,0.003,pinch,pinch,nominal,,1.0,1.0,0.13491,0,1,0,0,0,0.0,0.82,0.16
posterior_only,fragile,normal,0.1,0.03,0.003,soft,soft,fragile,0.036,0.8902,0.8345,0.18502,0,1,1,0,0,0.03002,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.044,0.845,0.7881,0.14063,0,1,1,0,0,0.0,0.82,0.16
posterior_only,nominal,normal,0.1,0.03,0.003,pinch,pinch,nominal,,1.0,1.0,0.14284,0,1,1,0,0,0.0,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.036,0.9678,0.9438,0.15627,0,1,1,0,0,0.00127,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.038,0.9339,0.8952,0.11259,0,1,1,0,0,0.0,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.03,0.889,0.7821,0.17938,0,1,1,0,0,0.02438,0.82,0.16
posterior_only,nominal,normal,0.1,0.03,0.003,pinch,pinch,nominal,,1.0,1.0,0.13373,0,1,1,0,0,0.0,0.82,0.16
posterior_only,fragile,normal,0.1,0.03,0.003,soft,soft,fragile,0.036,0.845,0.6925,0.18717,0,1,1,0,0,0.03217,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.036,0.8541,0.7147,0.14163,0,1,1,0,0,0.0,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.04,0.9678,0.9559,0.16771,0,1,1,0,0,0.01271,0.82,0.16
posterior_only,nominal,normal,0.1,0.03,0.003,pinch,pinch,nominal,,1.0,1.0,0.17104,0,1,1,0,0,0.01604,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.03,0.8677,0.7354,0.14894,0,1,1,0,0,0.0,0.82,0.16
posterior_only,fragile,normal,0.1,0.03,0.003,soft,soft,fragile,0.036,0.9245,0.8583,0.17377,0,1,1,0,0,0.01877,0.82,0.16
posterior_only,fragile,normal,0.1,0.03,0.003,soft,soft,fragile,0.032,0.9451,0.895,0.15538,0,1,1,0,0,0.00038,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.028,0.9664,0.9329,0.18268,0,1,1,0,0,0.02768,0.82,0.16
posterior_only,nominal,normal,0.1,0.03,0.003,pinch,scoop,thin_lip,0.042,0.9101,0.8763,0.83131,1,0,1,0,1,0.67631,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.024,0.9994,0.9987,0.13244,0,1,1,0,0,0.0,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.036,0.9971,0.9952,0.17504,0,1,1,0,0,0.02004,0.82,0.16
posterior_only,nominal,normal,0.1,0.03,0.003,pinch,pinch,nominal,,1.0,1.0,0.14932,0,1,1,0,0,0.0,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.042,0.851,0.795,0.15611,0,1,1,0,0,0.00111,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.034,0.882,0.8005,0.16136,0,1,1,0,0,0.00636,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.04,0.828,0.7448,0.162,0,1,1,0,0,0.007,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.034,0.9347,0.8755,0.17958,0,1,1,0,0,0.02458,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.042,0.8642,0.8112,0.15945,0,1,1,0,0,0.00445,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.036,0.9308,0.8877,0.12675,0,1,1,0,0,0.0,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.036,0.8679,0.7733,0.16353,0,1,1,0,0,0.00853,0.82,0.16
posterior_only,fragile,normal,0.1,0.03,0.003,soft,soft,fragile,0.036,0.9744,0.9562,0.14334,0,1,1,0,0,0.0,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.042,0.974,0.9629,0.15789,0,1,1,0,0,0.00289,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.034,0.9841,0.9732,0.15718,0,1,1,0,0,0.00218,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.034,0.9544,0.9092,0.15943,0,1,1,0,0,0.00443,0.82,0.16
posterior_only,fragile,normal,0.1,0.03,0.003,soft,soft,fragile,0.04,0.8727,0.7941,0.14638,0,1,1,0,0,0.0,0.82,0.16
posterior_only,fragile,normal,0.1,0.03,0.003,soft,soft,fragile,0.038,0.8508,0.7704,0.15268,0,1,1,0,0,0.0,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,soft,fragile,0.038,0.8203,0.7205,1.00595,1,0,0,1,1,0.85095,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.036,0.8483,0.702,0.15325,0,1,1,0,0,0.0,0.82,0.16
posterior_only,fragile,normal,0.1,0.03,0.003,soft,soft,fragile,0.032,0.8464,0.6967,0.14049,0,1,1,0,0,0.0,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.034,0.8349,0.7019,0.1669,0,1,1,0,0,0.0119,0.82,0.16
posterior_only,fragile,normal,0.1,0.03,0.003,soft,soft,fragile,0.04,0.9233,0.8824,0.1758,0,1,1,0,0,0.0208,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.036,0.9129,0.8268,0.21014,0,1,1,0,0,0.05514,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.036,0.8831,0.782,0.14337,0,1,1,0,0,0.0,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.04,0.924,0.8756,0.14176,0,1,1,0,0,0.0,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.036,0.8712,0.7434,0.15441,0,1,1,0,0,0.0,0.82,0.16
posterior_only,nominal,normal,0.1,0.03,0.003,pinch,pinch,nominal,,1.0,1.0,0.15831,0,1,1,0,0,0.00331,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.028,0.9858,0.9731,0.16886,0,1,1,0,0,0.01386,0.82,0.16
posterior_only,fragile,normal,0.1,0.03,0.003,soft,soft,fragile,0.038,0.9152,0.8442,0.15998,0,1,1,0,0,0.00498,0.82,0.16
posterior_only,nominal,normal,0.1,0.03,0.003,pinch,pinch,nominal,,1.0,1.0,0.17646,0,1,1,0,0,0.02146,0.82,0.16
posterior_only,slippery,normal,0.1,0.03,0.003,cage,cage,slippery,0.034,0.9753,0.9532,0.18357,0,1,1,0,0,0.02857,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.036,0.9704,0.9505,0.15295,0,1,1,0,0,0.0,0.82,0.16
posterior_only,thin_lip,normal,0.1,0.03,0.003,scoop,scoop,thin_lip,0.042,0.9122,0.8819,0.10669,0,1,1,0,0,0.0,0.82,0.16
